Eab,Eab_prime,Ea_prime_b,Ea_prime_b_prime
1.000000,-0.000286,0.000286,1.000000
1.000000,-0.000286,0.000286,1.000000
1.000000,-0.000286,0.000286,1.000000
1.000000,-0.000286,0.000286,1.000000
1.000000,-0.000286,0.000286,1.000000
0.999999,-0.001427,0.001427,0.999999
0.999999,-0.001427,0.001427,0.999999
0.999999,-0.001427,0.001427,0.999999
0.999999,-0.001427,0.001427,0.999999
0.999999,-0.001427,0.001427,0.999999
0.999996,-0.002743,0.002743,0.999996
0.999996,-0.002743,0.002743,0.999996
0.999996,-0.002743,0.002743,0.999996
0.999996,-0.002743,0.002743,0.999996
0.999996,-0.002743,0.002743,0.999996
0.999991,-0.004261,0.004261,0.999991
0.999991,-0.004261,0.004261,0.999991
0.999991,-0.004261,0.004261,0.999991
0.999991,-0.004261,0.004261,0.999991
0.999991,-0.004261,0.004261,0.999991
0.999980,-0.006285,0.006285,0.999980
0.999980,-0.006285,0.006285,0.999980
0.999980,-0.006285,0.006285,0.999980
0.999980,-0.006285,0.006285,0.999980
0.999980,-0.006285,0.006285,0.999980
0.999976,-0.006893,0.006893,0.999976
0.999976,-0.006893,0.006893,0.999976
0.999976,-0.006893,0.006893,0.999976
0.999976,-0.006893,0.006893,0.999976
0.999976,-0.006893,0.006893,0.999976
0.999989,-0.004593,0.004593,0.999989
0.999989,-0.004593,0.004593,0.999989
0.999989,-0.004593,0.004593,0.999989
0.999989,-0.004593,0.004593,0.999989
0.999989,-0.004593,0.004593,0.999989
1.000000,-0.000306,0.000306,1.000000
1.000000,-0.000306,0.000306,1.000000
1.000000,-0.000306,0.000306,1.000000
1.000000,-0.000306,0.000306,1.000000
1.000000,-0.000306,0.000306,1.000000
0.999989,0.004583,-0.004583,0.999989
0.999989,0.004583,-0.004583,0.999989
0.999989,0.004583,-0.004583,0.999989
0.999989,0.004583,-0.004583,0.999989
0.999989,0.004583,-0.004583,0.999989
0.999961,0.008874,-0.008874,0.999961
0.999961,0.008874,-0.008874,0.999961
0.999961,0.008874,-0.008874,0.999961
0.999961,0.008874,-0.008874,0.999961
0.999961,0.008874,-0.008874,0.999961
0.999930,0.011833,-0.011833,0.999930
0.999930,0.011833,-0.011833,0.999930
0.999930,0.011833,-0.011833,0.999930
0.999930,0.011833,-0.011833,0.999930
0.999930,0.011833,-0.011833,0.999930
0.999928,0.011995,-0.011995,0.999928
0.999928,0.011995,-0.011995,0.999928
0.999928,0.011995,-0.011995,0.999928
0.999928,0.011995,-0.011995,0.999928
0.999928,0.011995,-0.011995,0.999928
0.999946,0.010389,-0.010389,0.999946
0.999946,0.010389,-0.010389,0.999946
0.999946,0.010389,-0.010389,0.999946
0.999946,0.010389,-0.010389,0.999946
0.999946,0.010389,-0.010389,0.999946
