i,j,kappa_forman
0,2328,-32820.7
0,832,-32357.9
0,3572,-40678.5
0,1123,-42396.2
0,3561,-36529.4
0,2295,-38320.3
0,3393,-46749.2
0,1956,-72970.4
0,3149,-96454.7
0,2977,-79997.8
0,1164,-73112.2
0,2401,-97177
0,2229,-67740
0,16,-82408
0,135,-79634
0,3235,-92702.7
0,1021,-101649
0,3340,-92839.6
0,158,-111032
0,872,-105870
0,2131,-136292
0,1897,-111159
0,2044,-82944.1
0,3040,-163325
0,1889,-142558
0,3042,-108247
0,1387,-114142
0,377,-159971
0,3782,-109314
0,3627,-101153
0,3218,-182676
0,1855,-126465
0,1666,-169782
0,3971,-136278
0,2045,-183876
0,769,-204820
0,2997,-136036
0,2700,-191427
0,2776,-118862
0,342,-138106
0,3576,-174928
0,3905,-192738
0,1069,-240437
0,2502,-158798
0,945,-233868
0,348,-225256
0,3933,-168080
0,3979,-305816
0,3779,-170915
0,3754,-202529
0,2160,-261566
0,318,-274779
0,169,-226855
0,2834,-357400
0,1465,-340688
0,3632,-343399
0,715,-208346
0,1026,-226337
0,2594,-240554
0,2341,-322818
0,4010,-256530
0,3181,-257164
0,855,-339159
0,3794,-318682
0,2808,-308250
0,495,-356354
0,677,-265632
0,1917,-345025
0,3620,-346139
0,1783,-260406
0,1272,-399763
0,458,-381559
0,1578,-388295
0,489,-448353
0,2778,-380344
0,1504,-458998
0,4085,-598268
0,4060,-505981
0,1381,-609607
0,3109,-402811
0,922,-561508
0,2473,-366864
0,130,-518835
0,3879,-468380
0,974,-491578
0,3084,-607057
0,1773,-591449
0,2592,-553937
0,3793,-536936
0,1300,-683885
0,838,-490621
0,2551,-566122
0,1179,-627647
0,3796,-934535
0,1699,-618987
0,2514,-547778
0,1812,-909485
0,315,-635766
0,2628,-1.06069e+06
0,2564,-700682
0,1687,-449263
0,789,-632590
0,1054,-617512
0,1912,-739251
0,1257,-896917
0,1189,-1.14506e+06
0,2403,-765447
0,2296,-721057
0,3274,-802950
0,367,-965172
0,833,-622304
0,3739,-646275
0,1011,-659706
0,3646,-1.24476e+06
0,193,-960884
0,3157,-1.11701e+06
0,213,-1.18514e+06
0,1910,-964814
0,2017,-1.67483e+06
0,3946,-1.23465e+06
0,3508,-1.3291e+06
0,434,-1.15177e+06
0,2727,-1.04474e+06
0,2839,-774581
0,3772,-1.20149e+06
0,3815,-1.20654e+06
0,53,-1.09779e+06
0,2638,-989608
0,29,-1.35726e+06
0,942,-961930
0,3230,-766269
0,3964,-1.55474e+06
0,1793,-1.08401e+06
0,2569,-1.49069e+06
1,1151,-4279.86
1,661,-6870.02
1,3168,-15482.1
1,2855,-9209.74
1,1230,-6840.71
1,3957,-10096.1
1,2689,-8580.86
1,173,-17238.2
1,230,-16785.3
1,564,-32077
1,1364,-34176.9
1,327,-36183.7
1,3336,-21838.1
1,3920,-39020.6
1,2744,-25501.9
1,117,-14562.9
1,3189,-32621.4
1,3279,-45136.7
1,138,-22139.9
1,1707,-19305.3
1,2079,-42446.2
1,3887,-25281.7
1,2853,-45218.2
1,3162,-51998.3
1,3439,-45258.6
1,3696,-60428.6
1,659,-29609.7
1,306,-43738.4
1,1557,-95882.2
1,929,-28822.7
1,3170,-102129
1,2723,-45036.5
1,2910,-107620
1,2644,-73323.5
1,65,-34246.4
1,1692,-122570
1,111,-111134
1,3175,-139849
1,1847,-111645
1,1428,-47912.2
1,2460,-209870
1,262,-64624.4
1,24,-340578
1,1930,-64003.5
1,2083,-249323
1,3612,-202922
1,421,-236133
1,1902,-65635.4
1,2389,-213815
1,2308,-139156
1,4076,-645512
2,3501,-39165.8
2,1920,-55006.1
2,2443,-52255.3
2,2714,-47118.2
2,1400,-65178.9
2,1256,-66608
2,2571,-66144.3
2,877,-75117
2,2327,-94661.2
2,1217,-75149.5
2,2743,-96181.9
2,2717,-82412.2
2,2688,-108083
2,1234,-106035
2,2790,-91709.4
2,126,-103960
2,696,-108379
2,2322,-117864
2,2802,-123409
2,798,-91783.5
2,3969,-106867
2,3144,-144200
2,3377,-103760
2,3031,-116036
2,1401,-151862
2,2603,-120304
2,145,-134183
2,373,-142061
2,985,-157329
2,1985,-152089
2,2604,-150459
2,2761,-127444
2,3448,-141949
2,1759,-171364
2,1093,-139989
2,1899,-150095
2,2106,-207740
2,2501,-124717
2,3004,-183369
2,24,-172268
2,3529,-185043
2,2141,-263142
2,3612,-140724
2,4076,-192923
2,688,-184513
2,970,-272092
2,1528,-169528
2,352,-181787
2,3265,-321947
2,2335,-177842
2,1353,-269937
2,2676,-275534
2,1558,-234103
2,2706,-338829
2,2003,-269224
2,584,-314408
2,2910,-203258
2,3838,-292474
2,1198,-261884
2,3365,-271101
2,3232,-299608
2,2926,-342977
2,2059,-386373
2,3956,-405030
2,2592,-315640
2,2826,-317739
2,1488,-396524
2,1839,-313334
2,3946,-447682
2,116,-359887
2,139,-335423
2,3591,-407918
2,1659,-310134
2,3161,-468849
2,847,-595042
2,1826,-361140
2,629,-435611
2,3949,-574260
2,3356,-607359
2,9,-569622
2,3891,-396376
2,4085,-631999
2,1096,-375984
2,1174,-608042
2,3508,-691054
2,1355,-690480
2,2716,-829377
2,1651,-599547
2,2216,-564319
2,3523,-717544
2,1557,-501877
2,2913,-820853
2,4069,-621986
2,1320,-660886
2,810,-500786
2,54,-650727
2,943,-503347
2,3920,-477385
2,3128,-585135
2,3170,-523094
2,1741,-639135
2,1232,-843285
2,2151,-504590
2,1079,-697517
2,2834,-921561
2,2341,-730016
2,2273,-922906
2,1465,-894467
2,2460,-628254
2,495,-763838
2,472,-1.05506e+06
2,3175,-599345
2,1937,-647854
2,1069,-978197
2,3544,-1.01881e+06
2,2820,-860343
2,2176,-1.0864e+06
2,1351,-887850
2,3398,-891954
2,1692,-667281
2,3979,-1.16275e+06
2,2690,-619692
2,29,-1.03823e+06
2,1646,-783607
2,3162,-671924
2,2522,-1.18546e+06
2,1189,-1.30116e+06
2,3238,-1.43533e+06
2,2514,-886251
2,216,-762200
2,3698,-1.2282e+06
2,3218,-1.36109e+06
2,2746,-981650
2,1505,-1.38199e+06
2,421,-889221
2,1793,-1.07428e+06
2,2224,-1.04514e+06
2,1055,-789430
2,327,-921900
2,907,-1.6111e+06
2,44,-1.28873e+06
2,2696,-1.06412e+06
2,1245,-884510
2,1003,-2.02604e+06
2,2882,-1.373e+06
2,1214,-1.5937e+06
3,239,-40004.9
3,1961,-62498.8
3,896,-58712.6
3,1131,-78021.8
3,2227,-78124.5
3,527,-82825.2
3,3200,-75025.8
3,2884,-92186.9
3,1612,-86390.2
3,2858,-93056.5
3,3755,-81207.2
3,812,-105941
3,3563,-90613.5
3,2247,-96230.9
3,1599,-118912
3,797,-114124
3,3860,-131208
3,3150,-136518
3,397,-139476
3,3504,-134006
3,3854,-147201
3,3952,-196234
3,1991,-152926
3,3423,-194704
3,333,-143937
3,2008,-215227
3,276,-205066
3,4039,-227340
3,2155,-179019
3,3936,-194405
3,1604,-199565
3,2765,-243547
3,442,-226218
3,3859,-220605
3,1474,-209673
3,372,-180376
3,2847,-188398
3,1485,-293198
3,1898,-233927
3,651,-204075
3,57,-272564
3,3943,-266798
3,777,-220180
3,3525,-317080
3,2124,-297962
3,3473,-332579
3,3187,-265882
3,3354,-286344
3,1554,-330567
3,3009,-295950
3,37,-323946
3,3350,-374163
3,1012,-281199
3,875,-422382
3,2876,-409952
3,3037,-418285
3,2479,-411668
3,1501,-427805
3,1818,-405472
3,596,-516286
3,2783,-337572
3,2014,-338542
3,80,-464593
3,1973,-459027
3,3234,-358020
3,2754,-321195
3,740,-455913
3,1139,-494479
3,3408,-406204
3,2145,-579041
3,1371,-531505
3,213,-555766
3,3804,-622311
3,1498,-547961
3,1213,-513510
3,73,-645747
3,2867,-614683
3,3710,-772683
3,949,-594839
3,933,-638491
3,2062,-811336
3,1064,-808870
3,745,-635001
3,4086,-564876
3,735,-849652
3,1935,-604001
3,1338,-639029
3,312,-751943
3,1942,-824624
3,2866,-753823
3,1576,-938847
3,640,-718868
3,1887,-647507
3,2309,-914210
3,3692,-862621
3,2184,-574177
3,156,-920883
3,1888,-950354
3,3411,-883330
3,3750,-941190
3,1482,-757019
3,682,-679388
3,1807,-991348
3,2166,-1.03741e+06
3,2012,-1.10235e+06
3,3446,-892333
3,3177,-1.17169e+06
3,1111,-837087
3,2238,-859550
3,942,-747543
3,778,-749001
3,1257,-972317
3,4074,-901695
3,1115,-1.15628e+06
3,273,-1.34233e+06
3,922,-1.0206e+06
3,3522,-1.37514e+06
3,3238,-1.35249e+06
3,1231,-1.24501e+06
3,1424,-1.25589e+06
3,954,-1.17561e+06
3,2268,-1.35523e+06
3,3143,-958293
3,3258,-882046
3,472,-1.35833e+06
3,3798,-1.65184e+06
3,1713,-1.25328e+06
3,2974,-1.38637e+06
3,3820,-1.74388e+06
3,3308,-1.4039e+06
3,2916,-1.37585e+06
3,414,-1.8328e+06
3,3841,-1.4289e+06
3,2167,-1.32718e+06
3,728,-1.11759e+06
3,1502,-2.00391e+06
3,285,-965829
3,2350,-1.52856e+06
3,1002,-1.33281e+06
3,2838,-1.589e+06
3,2440,-1.27975e+06
3,2733,-1.60199e+06
3,434,-1.35045e+06
3,3395,-1.44646e+06
3,4042,-1.9118e+06
3,2035,-1.60926e+06
3,1523,-1.70316e+06
3,3764,-1.34419e+06
3,1541,-1.58753e+06
3,2221,-1.62558e+06
3,964,-1.18711e+06
3,2169,-1.78437e+06
3,3743,-1.7906e+06
3,4023,-1.84263e+06
3,1375,-1.90276e+06
3,3890,-1.25393e+06
3,348,-1.55055e+06
3,1483,-1.36722e+06
3,1196,-2.08953e+06
3,3934,-1.99003e+06
3,172,-1.39887e+06
3,1081,-2.13201e+06
3,2967,-1.90334e+06
3,673,-2.28188e+06
3,1667,-2.22581e+06
3,3772,-1.67834e+06
3,29,-1.81122e+06
3,2692,-2.26209e+06
3,2949,-1.48975e+06
3,2176,-2.03815e+06
3,721,-1.89086e+06
4,2266,-47139.9
4,815,-53734.7
4,100,-74041.6
4,2360,-75753.7
4,2793,-89457.8
4,1317,-82334.1
4,1193,-84531.1
4,1797,-96694.5
4,3051,-105026
4,1437,-99786.5
4,2590,-94068.1
4,1431,-91565.4
4,1649,-106212
4,3360,-129733
4,1617,-125249
4,3970,-117307
4,392,-138036
4,905,-102190
4,297,-138220
4,272,-115899
4,771,-153295
4,1854,-143938
4,2337,-154654
4,2031,-135263
4,1228,-143660
4,1314,-123937
4,1988,-138832
4,583,-127653
4,814,-141008
4,3972,-171560
4,72,-216743
4,967,-140557
4,2361,-210587
4,1236,-216839
4,547,-235708
4,1036,-160726
4,601,-247268
4,3305,-270257
4,2011,-235553
4,2657,-264659
4,1549,-246353
4,56,-303159
4,2140,-282644
4,2340,-248026
4,3876,-191870
4,2903,-314376
4,128,-273485
4,1678,-296456
4,1539,-371175
4,1806,-335018
4,2629,-265653
4,2010,-272429
4,3880,-415530
4,6,-409683
4,2917,-485989
4,492,-288857
4,2695,-478813
4,1386,-429049
4,101,-432558
4,3502,-504146
4,1075,-505712
4,2331,-500110
4,3093,-530105
4,188,-494524
4,396,-419012
4,1647,-478386
4,346,-516509
4,74,-501672
4,534,-515926
4,863,-598025
4,3624,-618950
4,3565,-454161
4,3236,-378306
4,45,-371987
4,2615,-526996
4,3211,-608796
4,628,-603381
4,3541,-436624
4,1420,-468079
4,2324,-415654
4,915,-576838
4,1613,-487048
4,1829,-697254
4,1716,-507910
4,3566,-628727
4,2763,-488963
4,2582,-777680
4,2029,-792975
4,647,-818652
4,623,-659599
4,770,-775858
4,2087,-619580
4,3543,-802337
4,891,-784509
4,2088,-754189
4,2006,-536089
4,3441,-832957
4,1078,-839055
4,1740,-623925
4,1968,-900832
4,2924,-686422
4,3415,-867636
4,2871,-707619
4,680,-1.0214e+06
4,3374,-929714
4,2756,-798208
4,233,-752652
4,1665,-606755
4,1472,-967458
4,2090,-681978
4,3792,-883369
4,279,-843576
4,365,-1.17367e+06
4,3244,-805862
4,748,-785232
4,932,-959964
4,3139,-675566
