i,j,kappa_ollivier
3980,3982,-0.215929
367,2057,0.0081792
70,3083,-0.402225
1002,1196,-0.0806295
884,977,0.0245196
797,1599,0.489556
475,562,-0.397097
334,3712,0.0619918
2508,2544,0.20792
276,1117,-0.0156245
2947,3156,0.311021
1705,2266,-0.158151
86,1733,-0.158834
83,1967,0.221307
302,3476,-0.156447
779,3929,0.0330626
835,3937,0.124488
2207,2977,-0.0980301
3094,3266,0.283107
73,447,-0.171898
2658,3791,-0.13735
698,2634,0.0809784
2503,3193,0.140073
1693,1922,0.064225
784,1424,-0.0421812
1871,3462,-0.746116
2927,3710,-0.0758417
1018,2031,0.095426
15,1441,-0.0829037
554,4081,-0.120619
1711,2860,0.208737
1290,3494,-0.0415035
1016,1835,0.440426
540,3896,0.177475
769,1991,-0.0400214
1271,3912,0.110578
333,397,0.0543675
297,3139,0.173955
1483,3110,0.232822
314,3313,-0.499761
1385,2227,-0.0941472
1311,3273,-0.356491
3122,3851,0.00501183
956,3738,0.0838864
121,3563,-0.000246941
1935,3504,0.183105
2434,3481,0.44938
414,2333,-0.0801288
1474,2733,-0.27824
249,3552,0.225282
2571,3161,-0.0722934
1081,2238,0.1134
3553,4071,0.374234
3346,3947,0.323803
1398,1410,-0.100037
2795,3914,-0.11111
677,3879,-0.559889
211,1013,-0.305099
129,2760,-0.0432368
814,1314,0.254115
1068,1373,0.0823241
251,2413,-0.0440768
835,2560,-0.00762634
330,1895,0.172537
1483,2177,-0.184019
1016,2235,-0.32223
1894,3431,0.204505
3771,4082,-0.126151
1411,2207,-0.167747
570,716,0.0493887
1432,3147,-0.172546
1371,1693,0.246829
746,1185,-0.0812678
965,2115,-0.324159
216,1403,-0.35812
3197,3534,0.28337
3749,3804,0.372952
602,2111,0.260481
2413,2837,0.0843663
883,3194,-0.0341956
574,3480,-0.179406
1948,3019,-0.0715779
1481,2368,-0.10471
977,1634,-0.214805
2618,3176,-0.309017
782,2318,0.101901
1222,1894,0.105236
158,495,0.0835656
818,2728,0.0585641
88,3044,0.102468
1184,3250,0.106986
1597,1997,-0.160809
967,3151,-0.0501997
197,690,0.431499
750,3488,-0.19489
2709,3435,0.183263
1180,3487,0.0206945
754,1099,-0.22808
2167,2802,-0.107293
1569,3547,0.354723
1929,3583,-0.0490358
