i,j,kappa_forman
0,16,-14862.649757267289
0,135,-14131.139869141964
0,158,-22576.540711964208
0,169,-43251.805997073025
0,318,-50649.64725917381
0,342,-25984.499368162706
0,348,-46375.45415840209
0,377,-31244.048209197663
0,495,-71677.93559891041
0,677,-45926.64974328067
0,715,-39093.020665938326
0,769,-39983.87619185067
0,832,-8015.496353311812
0,855,-62346.586076935004
0,872,-21070.18719046768
0,945,-46629.27735526059
0,1021,-16997.985357470578
0,1026,-44255.723347288214
0,1069,-42251.96666030494
0,1123,-7903.695996325963
0,1164,-14440.397212769807
0,1387,-21583.625572351244
0,1465,-60641.12924929073
0,1666,-31581.87257018061
0,1783,-55267.00898953183
0,1855,-27335.105296657403
0,1889,-24395.871934991945
0,1897,-18211.063709910133
0,1917,-60400.88865701421
0,1956,-14800.627258325367
0,2044,-17386.579903482343
0,2045,-32979.70890497344
0,2131,-25029.086785972755
0,2160,-51322.63218119104
0,2229,-13502.714782178138
0,2295,-7270.158527867861
0,2328,-7171.2895459209185
0,2341,-59095.66272662569
0,2401,-17297.207457608718
0,2502,-31386.808766029302
0,2594,-47137.10379711286
0,2700,-40631.4800561319
0,2776,-23010.09442852143
0,2808,-55529.07519822384
0,2834,-69224.31183043163
0,2977,-15090.323686660005
0,2997,-28091.63682020288
0,3040,-27816.51833017241
0,3042,-19193.89584305787
0,3149,-19391.436772198165
0,3181,-45224.535094490726
0,3218,-35048.08518335357
0,3235,-17375.2446721911
0,3340,-17534.785029430037
0,3393,-10155.126265847124
0,3561,-8058.989480399298
0,3572,-7353.6375435961345
0,3576,-29432.442184373424
0,3620,-64112.7577489165
0,3627,-20220.047396857037
0,3632,-57594.90089263781
0,3754,-40941.01039589341
0,3779,-33683.76210383706
0,3782,-22374.426367077453
0,3794,-61746.32408787525
0,3905,-35442.90292489767
0,3933,-30431.16381647198
0,3971,-26194.958879834277
0,3979,-58489.71264065551
0,4010,-51324.90708282237
1,65,-10984.538921591024
1,117,-4771.400574965984
1,138,-6848.297432997664
1,173,-3537.0159805760118
1,230,-4290.057542093038
1,306,-11643.079080335823
1,327,-9690.834750415861
1,564,-8762.57397716237
1,659,-8845.808943896769
1,661,-2219.0253328641397
1,929,-9092.210460764429
1,1151,-1470.20221530923
1,1230,-2055.32104110017
1,1364,-8039.931771776065
1,1557,-25579.666069821476
1,1707,-5901.982836008446
1,2079,-9818.500325975736
1,2644,-17324.55932805593
1,2689,-2405.3703816901902
1,2723,-12082.756912559846
1,2744,-6907.0914448639305
1,2853,-11310.052064770256
1,2855,-2913.529278562802
1,2910,-27341.780191443188
1,3162,-14297.33269117647
1,3168,-4201.24578719441
1,3170,-21225.561208237414
1,3189,-8292.5758185539
1,3279,-11726.25492985539
1,3336,-5786.6587296090565
1,3439,-11109.227889152276
1,3696,-13409.1627579933
1,3887,-7809.6122105636705
1,3920,-9297.687308954588
1,3957,-2282.195095220537
2,24,-31331.440974243404
2,116,-65901.59981246332
2,126,-21157.4947249983
2,139,-55039.21013390205
2,145,-24223.12057498459
2,352,-31109.00720301445
2,373,-27620.417215071186
2,584,-55476.9633778257
2,688,-37005.950792292926
2,696,-20034.55312295523
2,798,-18595.13240651199
2,847,-110864.73029625246
2,877,-15091.604276355703
2,970,-45938.80412301358
2,985,-35886.12333409187
2,1093,-24312.247672260157
2,1198,-49828.194315182445
2,1217,-15385.350406126217
2,1234,-19681.79858700709
2,1256,-14304.788402790573
2,1353,-46612.73482469806
2,1400,-11867.432899465228
2,1401,-28910.769185405443
2,1488,-91171.12063553352
2,1528,-30444.10229614178
2,1558,-46369.048215194256
2,1659,-56935.598546633126
2,1759,-32728.70381156789
2,1839,-59481.88640438452
2,1899,-28024.119213558995
2,1920,-10368.43495196421
2,1985,-31471.5367623077
2,2003,-47809.16634497257
2,2059,-73914.30498803299
2,2106,-32842.551650330955
2,2141,-45780.3540916642
2,2322,-22967.13225567903
2,2327,-17630.260509527663
2,2335,-32645.600102927183
2,2443,-9072.810189751082
2,2501,-24527.98880499164
2,2571,-12663.75754117187
2,2592,-60510.103409293784
2,2603,-22413.518182816882
2,2604,-24830.503499649527
2,2676,-57288.27748322081
2,2688,-21247.451678290126
2,2706,-75633.49251409194
2,2714,-9181.493276221727
2,2717,-14759.538068862286
2,2743,-17694.79308710679
2,2761,-23841.17273907622
2,2790,-16578.220080343955
2,2802,-22847.147571439913
2,2826,-56816.04358695396
2,2910,-39945.41916827717
2,2926,-73155.3868975152
2,3004,-29975.57444273423
2,3031,-24854.142232260827
2,3144,-24292.104005838177
2,3161,-92075.56129271716
2,3232,-51089.61348801089
2,3265,-59789.394094780706
2,3365,-52681.54882535388
2,3377,-22344.997258787193
2,3448,-34306.37762793244
2,3501,-7395.458021611824
2,3529,-39978.22540565479
2,3591,-71934.02845931274
2,3612,-26513.1399689173
2,3838,-52469.79832486165
2,3946,-83614.42985870222
2,3956,-78745.99666063764
2,3969,-19487.422349714176
2,4076,-40482.51274093328
3,37,-56818.70572421544
3,57,-45274.115322986465
3,73,-115688.43237153176
3,80,-74506.15495811607
3,213,-87241.86009272916
3,239,-6276.286688027929
3,276,-35344.20377631032
3,333,-23244.324675591568
3,372,-28435.738797628066
3,397,-24990.65400198497
3,442,-39298.81218136254
3,527,-13034.30570597091
3,596,-97730.98176680478
3,651,-33512.90603052022
3,740,-69978.35737540333
3,777,-31998.760203360944
3,797,-21833.241534834175
3,812,-18147.744080894874
3,875,-62344.983954015246
3,896,-8817.043782739329
3,1012,-42128.228899448135
3,1131,-11842.695796777673
3,1139,-86110.66128245754
3,1213,-85618.97705769831
3,1371,-88255.02724712885
3,1474,-33172.35498553203
3,1485,-48717.93225233781
3,1498,-96150.08637349693
3,1501,-73140.49887312618
3,1554,-54947.230490663605
3,1599,-20036.452862525704
3,1604,-30945.357035579917
3,1612,-14142.249628554424
3,1818,-70901.99481782663
3,1898,-39523.43301620037
3,1961,-9573.641217520615
3,1973,-78930.92577014815
3,1991,-25332.27662539493
3,2008,-36931.99256526406
3,2014,-54599.88399453872
3,2124,-47924.57019218504
3,2145,-124148.53729273773
3,2155,-29394.63241119063
3,2227,-12221.804589207486
3,2247,-15868.127304603566
3,2479,-64676.36405769494
3,2754,-53327.93488618663
3,2765,-45096.64040744498
3,2783,-60601.019964941275
3,2847,-29140.845420784844
3,2858,-14629.28691760086
3,2876,-68767.7394899039
3,2884,-15529.935039836084
3,3009,-50242.45604259071
3,3037,-61482.12987349669
3,3150,-23930.562032933023
3,3187,-42979.54326811018
3,3200,-12215.016648305664
3,3234,-61586.600765225885
3,3350,-56374.59654668571
3,3354,-45267.0767861828
3,3408,-66925.0865667854
3,3423,-32587.115501446675
3,3473,-56914.28053416166
3,3504,-21555.70294551475
3,3525,-57307.832629961486
3,3563,-14207.435045469907
3,3755,-13286.910220584603
3,3804,-116041.90965610059
3,3854,-23672.53470697423
3,3859,-39207.58274312705
3,3860,-24205.78577848138
3,3936,-31617.762493301347
3,3943,-41175.093378303776
3,3952,-28640.784603710228
3,4039,-37465.11891209026
4,6,-73485.99735859418
4,45,-66833.60968181668
4,56,-55027.33314527558
4,72,-44959.0770122632
4,74,-85066.59796602534
4,100,-14496.264348860313
4,101,-84251.93619944193
4,128,-62261.22231604356
4,188,-98254.2205612231
4,272,-23043.11926171228
4,297,-26868.215223309948
4,346,-94004.4930588994
4,392,-28218.48486599637
4,396,-71640.67746998895
4,492,-52740.253090766484
4,534,-100046.50140250611
4,547,-46229.618947118404
4,583,-26157.308545583634
4,601,-44270.32923716006
4,628,-99514.04444703288
4,771,-29077.981160216867
4,814,-26795.533889537262
4,815,-11316.947528779816
4,863,-123243.04195132684
4,905,-18647.94045365357
4,915,-112447.83438652927
4,967,-27079.037077172034
4,1036,-29148.68589912667
4,1075,-101427.35390619305
4,1193,-16095.59580651211
4,1228,-26310.619856947615
4,1236,-38133.665615400365
4,1314,-23413.8328524737
4,1317,-16346.007470398232
4,1386,-85233.17499672539
4,1420,-83657.10181839135
4,1431,-18025.562231064217
4,1437,-21525.823970622514
4,1539,-74103.1272113784
