i,j,w,kappa,type
0,832,0.38912027624578777,-82.95503077615749,forman
0,1123,0.34144145506778933,-116.40953169015242,forman
0,1164,0.07540253440926299,-190.2323094500205,forman
0,1956,0.09596217170109045,-117.64677399233958,forman
0,2229,0.07380241416315243,-153.71616725799586,forman
0,2295,0.30887407007552786,-99.51455235899584,forman
0,2328,0.4164054482888444,-82.99498223239135,forman
0,2401,0.07486479731645933,-208.95959470299434,forman
0,2977,0.0776603992018473,-171.63522711085142,forman
0,3149,0.07948497033695665,-153.60890825321127,forman
0,3393,0.26547593611849024,-106.34827201280635,forman
0,3561,0.3173680679907843,-107.65165862974995,forman
0,3572,0.387877028492282,-87.49576838070757,forman
1,173,0.1039622434491039,-90.6904275710371,forman
1,230,0.07712758282498577,-129.13499561590294,forman
1,661,0.34974444521677883,-80.515806415079,forman
1,1151,0.48813192108601144,-40.16199666291439,forman
1,1230,0.1159455789356294,-51.60960430419413,forman
1,2689,0.107692737294582,-100.57753333716265,forman
1,2855,0.11662768063499504,-93.57221069236535,forman
1,3168,0.12405637671516206,-109.43201556043466,forman
1,3957,0.1129298856171412,-53.43903832721176,forman
2,126,0.08332360328193658,-251.14237049651257,forman
2,696,0.08262268065683473,-272.1964999633632,forman
2,798,0.07127905472886607,-289.14866324432313,forman
2,877,0.14178952798391403,-172.0432063661499,forman
2,1217,0.12671612810957922,-187.3960754401374,forman
2,1234,0.08644805611542371,-261.587295746483,forman
2,1256,0.20676732683435328,-215.4674531377151,forman
2,1400,0.21367955666151006,-169.31791678553694,forman
2,1920,0.31836178745444743,-164.65922843231192,forman
2,2322,0.07855518849418067,-217.73811305415197,forman
2,2327,0.12707033375436647,-225.25776837560298,forman
2,2443,0.2533034310953542,-160.28178558159084,forman
2,2571,0.16222800868943074,-186.19883175949008,forman
2,2688,0.10003503438850081,-253.46414750526904,forman
2,2714,0.2214191138263062,-144.7612781537435,forman
2,2717,0.11314637926123042,-245.60771561076058,forman
2,2743,0.1177564959752493,-251.65073334195787,forman
2,2790,0.08443939867734623,-228.99173170112482,forman
2,2802,0.07809056872335256,-285.27184432897104,forman
2,3501,0.6141061931723352,-122.143141265398,forman
3,239,0.8411372655829359,-96.88900261840615,forman
3,527,0.18599293921897841,-148.1009064705664,forman
3,797,0.09019956004333762,-185.8692217868873,forman
3,812,0.12154150597492037,-222.4424828240882,forman
3,896,0.30197294913841866,-135.9120117976855,forman
3,1131,0.2091027477148736,-161.34543804649905,forman
3,1599,0.09233083866168491,-206.1845078351293,forman
3,1612,0.14739272443358878,-173.10825834151245,forman
3,1961,0.33523240225058665,-159.06973052253952,forman
3,2227,0.19056849193307338,-181.72458474731965,forman
3,2247,0.09972724726604225,-213.15042645716525,forman
3,2858,0.1440676114810908,-174.98155492876714,forman
3,2884,0.15903024530305915,-147.97669528518082,forman
3,3150,0.07595416098164978,-251.64001204835245,forman
3,3200,0.16452497762425786,-178.45342400580716,forman
3,3563,0.11183864852642644,-224.93113310888566,forman
3,3755,0.13331704328045055,-182.62043704310383,forman
