node,kappa_forman_node,deg,deg_w
0,-1679.1687768483741,13,2.903739569408275
1,-749.1336284863021,9,1.5962184517743898
2,-4304.325800290595,20,3.2811378678845173
3,-3272.705768194515,18,3.480590458637881
4,-6125.839825151997,26,5.421124719762666
5,-3541.2912759784067,18,3.2695952313861194
6,-4700.393713721111,22,3.7274266055239016
7,-68.27236257497077,2,0.22192969179695707
8,0.0,0,0.0
9,-3549.2306837308333,16,2.275938603948961
10,-40.141509604604714,2,0.24647617247691558
11,0.0,0,0.0
12,-5.741333810262496,1,0.07401436319528526
13,-781.7411042812008,10,2.168496310174015
14,-1605.7288278922188,13,2.3393220372239627
15,-2402.500111103368,16,3.7229490480084735
16,-1741.153717702391,15,3.005445759325043
17,-875.6746244603493,10,2.2147240231251812
18,-204.76838470370623,5,0.9178188135485799
19,-344.166467066921,6,1.3099209634727988
20,-1116.595095860703,10,1.6962209463307754
21,-2673.2194185553276,15,2.2249602516597826
22,-39.67349400568387,2,0.35607568789268
23,-534.413476528696,7,1.2946688736348173
24,-1808.7857141818863,14,2.7549385433935596
25,-8.557736242811323,2,0.39871358751025565
26,-3908.2404475120065,21,4.371821289447009
27,-18.18801061651828,1,0.12347327695521848
28,-1967.3113175408876,15,2.854070681537426
29,-3520.1687571627754,18,2.827029903537157
30,-2221.9155117182995,15,3.705444021252114
31,-6.724407256802174,1,0.1515814719195779
32,-802.71797222551,10,2.2301953001386807
33,-1140.088774125653,11,2.364838822975512
34,-354.1980437082931,7,1.9522373490060159
35,-67.90904786619237,2,0.6435772224297196
36,-286.893107965911,6,1.5831597903232872
37,-2519.9581108482016,16,3.3931795408239576
38,-2303.58401976156,14,2.0649460084507214
39,-367.33007105096954,6,1.1579545814763514
40,0.0,0,0.0
41,0.0,0,0.0
42,-274.14084720548954,6,1.9638053686644652
43,-2114.8216127207497,16,4.498625343734669
44,-1098.866713269682,8,1.1064077218973147
45,-501.68876170091994,6,0.7815494950378405
46,-869.7295150600864,9,1.5413542129851066
47,-1174.7575010721437,11,2.272071197209198
48,-2723.7816063180994,16,3.4819992775023634
49,-1886.4195979573885,14,3.0092486362397954
50,-343.31000232943694,6,1.2549698104198437
51,0.0,0,0.0
52,-30.272764057062613,2,0.2144750381990088
53,-1687.705761295261,13,2.2218656329368067
54,-2559.321645093874,14,2.2729075310203504
55,0.0,0,0.0
56,-5729.952776675659,24,3.922830751462904
57,-1745.8567218102294,11,1.949249835582802
58,-163.8309809389913,5,1.2056791875399677
59,-29.505912977478808,2,0.3661076736781278
60,-3687.1142077693817,20,3.8409015610380806
61,0.0,0,0.0
62,-245.27149618425622,5,0.7692462085639048
63,-1839.504694536966,15,3.5955455837651886
64,-11.934167583598983,2,0.3975434088190881
65,-119.73658265789454,3,0.46403943205263587
66,-140.95060635323682,4,0.5785653266989441
67,-42.31607060894972,2,0.26078308541904216
68,-646.1893493723011,8,1.4085860622552993
