i,j,w,kappa,type
0,832,0.34590565387705724,-16.970128720250635,forman
0,1123,0.21167536318875374,-12.928980814696272,forman
0,2328,0.28612039371534703,-13.95139532049309,forman
0,3393,0.25642667655937806,-25.487260071129864,forman
0,3572,0.22823304164138777,-14.276054457928215,forman
1,661,0.2839637194163435,2.3597680633627975,forman
1,1151,0.7270967605770103,-1.5846099883034577,forman
2,2443,0.3064474443088025,-6.087451262031975,forman
2,3501,0.40758810141871277,-17.969584698119586,forman
3,239,0.27272130460619487,-7.121684335498887,forman
3,1961,0.5166582908530513,-4.023808308357792,forman
4,815,0.20472509140350426,-13.257661124369871,forman
4,2266,0.35696252257881955,-8.367890611036971,forman
5,2993,0.25626218956343244,-10.195247240019446,forman
5,3934,0.3493284921741146,-10.583146382721154,forman
5,3944,0.407642682559057,-11.026870082047473,forman
6,279,0.22148827170678187,-19.088529862876168,forman
6,547,0.1941841359187011,-12.600277273091088,forman
6,601,0.31901840490479677,-25.23535384409879,forman
6,2361,0.3790817466676414,-19.231887256369927,forman
6,2695,0.258142364560219,-31.312922021156634,forman
9,1232,0.24422642155305171,-12.070555729018201,forman
9,3356,0.20487451718610253,-12.96856921366478,forman
9,3534,0.2605201890604453,-13.007892400276297,forman
13,716,0.2201774312427538,-7.8754968090503645,forman
13,3552,0.31682212391062414,-4.532752008678065,forman
13,3746,0.2751321263174074,-9.905195226032053,forman
13,4048,0.5020285645158082,-8.5213747851219,forman
14,1172,0.3433260145738462,-1.5456684638988945,forman
14,3856,0.189613472942251,-10.63119973804238,forman
15,685,0.5533023525106705,-6.441793868823634,forman
15,937,0.8617890779240093,-7.587146000637531,forman
15,2270,0.2519706775297288,-5.983335558977181,forman
16,135,0.6318820912871793,-9.434870203769407,forman
16,1387,0.3642702542696522,-10.21308940348386,forman
16,1855,0.37336574709753684,-11.552127237294703,forman
16,2295,0.3724772837097796,-12.89990681873631,forman
16,3042,0.23573653365197092,-5.409558257074776,forman
17,1623,0.5753451339364971,-5.453111828927971,forman
17,2770,0.24128376294265544,-2.0641306353039743,forman
17,3255,0.1973517059856825,-13.334692281242688,forman
18,3844,0.28351453800250687,-0.32213663765041956,forman
19,249,0.2461485568872579,-11.137057948491044,forman
19,576,0.188804130657345,-15.063880766325589,forman
19,1521,0.2884226890681333,-7.882774482359299,forman
19,2660,0.20868896005313423,-8.059733469171775,forman
21,623,0.2856443423109011,-7.527233575227557,forman
21,1974,0.525780688244451,-11.5494559892423,forman
21,3792,0.2353315365452884,-16.769953308563846,forman
23,1041,0.7252177294013834,-0.9484611016086073,forman
23,2843,0.33717329274302643,-2.0519634469558685,forman
24,1093,0.3452043291441217,-9.515415551768438,forman
24,3612,0.20356946343536608,-2.584568159621015,forman
25,3489,0.30954147137087745,2.0,forman
26,109,0.26134220989680673,-18.717559877156425,forman
26,860,0.4360703655902489,-29.736827435112225,forman
26,1252,0.3685167792686824,-25.490209922332703,forman
26,1425,0.30173219388474254,-33.19744120993633,forman
26,3387,0.2168897843577384,-19.86699312873661,forman
26,3686,0.25363130237375725,-15.05227342943326,forman
26,4095,0.4473337201710547,-17.556730876023895,forman
28,2390,0.3285511257598034,-1.8155969025257175,forman
28,3941,0.21637002017369628,-12.019569690633363,forman
29,213,0.1974235661928359,-11.94583087727739,forman
29,2059,0.36547705607179465,-16.471639429533877,forman
29,2926,0.3482318268304369,-16.754888360451403,forman
29,3946,0.24684583217563702,-21.16321967222887,forman
30,1411,0.24330686947475266,-17.85786831778432,forman
30,2065,0.22714783469102814,-14.804393585426801,forman
30,2075,0.27975314678522745,-11.047330602449314,forman
30,2902,0.391946198908709,-17.36448073092579,forman
30,3418,0.8972253645847704,-7.877934392010021,forman
32,642,0.3889957601442195,-2.3039106017290205,forman
32,3370,0.5373266617380484,-5.323015135878312,forman
33,225,0.198487181999797,-12.536612781299773,forman
33,2906,0.30418057946123284,-13.061501680768735,forman
33,3886,0.2884998057399227,-13.228873749579197,forman
34,692,0.3714756748623446,-2.9842787614460082,forman
34,840,0.4090471640621504,-0.19679626183872312,forman
34,1514,0.6029441322113557,-5.28282090370503,forman
35,2531,0.2210556934102539,-1.9415954458703695,forman
35,2980,0.19457245373049845,-1.6856820607588432,forman
36,1609,0.40321450213565996,-6.223060105369723,forman
36,2857,0.19315807921186018,-4.959600977673231,forman
37,73,0.2824888822667374,-37.2637596860664,forman
