node,kappa_forman_node,deg,deg_w
0,-83.61381938449807,5,1.328361128981924
1,0.7751580750593399,2,1.0110604799933538
2,-24.057035960151563,2,0.7140355457275153
3,-11.145492643856677,2,0.7893795954592462
4,-21.625551735406845,2,0.5616876139823238
5,-31.805263704788075,3,1.013233364296604
6,-107.46897025759262,5,1.3719149237581403
7,0.0,0,0.0
8,0.0,0,0.0
9,-38.04701734295928,3,0.7096211277995995
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,-30.834818828882383,4,1.3141602459865935
14,-12.176868201941275,2,0.5329394875160972
15,-20.012275428438347,3,1.6670621079644086
16,-49.50955192035906,5,1.977731910016119
17,-20.851934745474633,3,1.013980602864835
18,-0.32213663765041956,1,0.28351453800250687
19,-42.14344666634771,4,0.9320643366658704
20,0.0,0,0.0
21,-35.8466428730337,3,1.0467565671006405
22,0.0,0,0.0
23,-3.000424548564476,2,1.0623910221444097
24,-12.099983711389452,2,0.5487737925794878
25,2.0,1,0.30954147137087745
26,-159.61803587873146,7,2.2855163555430313
27,0.0,0,0.0
28,-13.83516659315908,2,0.5449211459334997
29,-66.33557833949155,4,1.1579782812707045
30,-68.95200762859625,5,2.039379414444488
31,0.0,0,0.0
32,-7.6269257376073325,2,0.9263224218822679
33,-38.8269882116477,3,0.7911675672009526
34,-8.46389592698976,3,1.3834669711358507
35,-3.6272775066292127,2,0.41562814714075236
36,-11.182661083042955,2,0.5963725813475201
37,-213.08310842113966,7,1.7498361061409642
38,-44.170012033028485,4,1.263900023333889
39,0.0,0,0.0
40,0.0,0,0.0
41,0.0,0,0.0
42,1.6262808552184365,2,0.8300226351010289
43,-47.148141397278025,4,1.4816569248304015
44,-3.185213872423239,2,0.6816618426701384
45,0.0,0,0.0
46,-27.72676909295413,3,0.837538465726582
47,-56.45723018083133,4,1.0446823885685805
48,-83.47472946974617,5,1.8518353767871785
49,-42.16499513676561,4,1.673191225343786
50,-0.5033434633515399,1,0.21259687434402386
51,0.0,0,0.0
52,0.0,0,0.0
53,-54.06245524866101,4,0.9873220630996465
54,-27.47434910762356,3,0.944971778109853
55,0.0,0,0.0
56,-141.93154129334823,6,1.6359959975211282
57,-38.4161829241808,3,0.8376980097522126
58,-16.12151569361764,3,0.8742146081652036
59,2.0,1,0.19579469780322217
60,-110.40889564899948,7,2.514928023072559
61,0.0,0,0.0
62,-1.2661584858887451,1,0.33166220723357553
63,-119.06828579854249,7,2.4839988881639066
64,2.0,1,0.2065653458273549
65,0.0,0,0.0
66,0.0,0,0.0
67,0.0,0,0.0
68,-5.349187854408761,2,0.8115896825924894
69,0.0,0,0.0
70,-21.57026032464113,3,0.8361547360770112
71,-4.642622820103798,2,0.564045879030822
72,-137.3722508044604,6,2.061458784309043
73,-297.1519168681919,8,1.9771603587850386
74,-115.85055665371537,6,1.785103245501855
75,-6.105464781969472,1,0.4528529519799525
76,2.0,1,0.6728723447410184
77,0.0,0,0.0
78,-1.3808712254185878,1,0.30703627755922885
79,-1.2341179069088364,1,0.3040242590504103
80,-32.667263179031764,2,0.5516001232226612
81,0.0,0,0.0
82,2.0,1,0.3188046897970926
83,-346.07465048039205,11,4.21525191731105
84,-126.62444793802027,7,2.2401135118636173
