i,j,kappa_oll,approx
177,3392,0.9998877674650051,1
321,2652,0.9986807570106369,1
1634,3939,0.9989081201067882,1
1617,3096,0.9998722032165467,1
328,641,0.9996870286576169,1
1224,1829,0.9997670153920154,1
3575,3635,0.9996902376458061,1
3001,3789,0.9999374864100892,1
1386,3224,0.999435304478107,1
3217,3267,0.9994747037000559,1
1983,2827,0.9985409780006839,1
2635,3880,0.999661528795387,1
1269,3660,0.9996843434343434,1
116,421,0.9997952235014005,1
699,1504,0.9993122083026283,1
574,3411,0.9995660596667958,1
37,1667,0.9999952107279694,1
1186,3367,0.9997132335184739,1
1930,2690,0.9977297008547008,1
2006,3765,0.9996175420703722,1
1000,2131,0.9997259778131246,1
129,536,0.9997191184165974,1
518,3709,0.999627167091282,1
451,2046,0.9995165394402036,1
1433,1667,0.9996836189551099,1
611,1271,0.9999987870892932,1
646,2078,0.9996424885743771,1
1152,3884,0.9998735466647933,1
1550,3494,0.9999023851965029,1
2453,2795,0.9999001141552512,1
2072,3586,0.9996676111595466,1
1013,3738,0.9998475463363103,1
2343,3820,0.9996752669917287,1
1355,2590,0.99989245282636,1
3116,3744,0.9996339709791277,1
2717,3157,0.9999747404582081,1
185,3397,0.9998427143017639,1
1380,3817,0.996466358075715,1
2072,2808,0.9998768912360834,1
3056,3290,0.9972957084068195,1
2043,2069,0.9999440739052985,1
1200,2029,0.9996206303934474,1
1459,1602,0.9994834010840108,1
4015,4060,0.9989173789173789,1
1229,3347,0.9998757058966998,1
107,146,0.9993236138346548,1
1811,3022,0.9995869842863406,1
1906,3028,0.9996189902138065,1
1201,2917,0.9992790410717434,1
2324,2598,0.9997718295418515,1
3530,3939,0.9999253473422272,1
640,3854,0.9999347611818453,1
832,1069,0.999944741340354,1
1314,1740,0.9999682486182043,1
542,1878,0.9995311932895108,1
2521,2917,0.9998988926336062,1
3857,3938,0.9997399914774985,1
157,628,0.9990652223241681,1
1089,3057,0.9981553906049078,1
2170,3903,0.9997104247104247,1
713,2248,0.9999591284703644,1
1793,2820,0.9999699774230221,1
1401,2839,0.9996867542162086,1
954,3576,0.9998311381290105,1
1599,3857,0.9999453103267607,1
2191,3812,0.9998154322457729,1
248,3053,0.9999083269671505,1
3134,3169,0.9984582501138792,1
11,3453,0.9971424053492365,1
2284,2666,0.9997878110379663,1
2328,3804,0.9997763620001467,1
2836,3160,0.9983938856889677,1
32,155,0.9994819071356041,1
900,2868,0.999738155988156,1
