node,mean_kappa_forman
0,-522936.1984470688
16,-250706.26840852338
135,-253519.51833353325
158,-768713.8212412358
169,-501277.70828948816
318,-500736.19930501207
342,-306955.65297032596
348,-595771.2263329608
377,-547112.9406304032
495,-546003.3956107068
715,-180095.1790882578
769,-523170.3501323212
832,-468096.2835877698
855,-457136.7010499705
872,-551330.4110105251
945,-554838.3844906115
1021,-435072.5515635288
1026,-237019.55871105328
1069,-500485.70369806804
1123,-510086.59524854313
1164,-416292.8901722877
1387,-288812.00886741874
1465,-576452.1896193423
1504,-781142.6604829079
1666,-490078.5922545036
1783,-247705.21101766874
1855,-271834.78939735057
1889,-404523.4071447668
1897,-394793.0937672865
1917,-315468.2881047259
1956,-738338.3320779797
2044,-347301.8215257458
2045,-543128.1241662689
2131,-676043.4591552827
2160,-641318.6368961454
2229,-250223.62618422165
2295,-385041.17173773283
2328,-415379.17669627164
2341,-440126.1728944472
2401,-533472.6631041012
2502,-317026.8824271621
2594,-302466.6188364528
2700,-738438.3070327208
2776,-346220.6398823611
2808,-338965.83316347457
2834,-806361.8104883198
2977,-355379.06951160636
2997,-217066.4282511239
3040,-676068.5317577533
3042,-232457.22388053118
3149,-706868.7100581117
3181,-262607.12171675736
3218,-592604.0480643511
3235,-395374.489959477
3340,-368228.2894543017
3393,-598483.2006047807
3561,-348011.258898192
3572,-647571.1469377832
3576,-432735.42106055614
3620,-373872.9294581713
3627,-209724.91281922275
3632,-493800.30956243817
3754,-310312.03804685787
3779,-244754.83725055057
3782,-344732.35618238384
3794,-433978.5535055121
3905,-448266.08970473654
3933,-240237.29163453603
3971,-419540.20553956594
3979,-696886.5903126437
4010,-312373.8964114992
4085,-733991.3554937273
4189,-783137.9042428846
4199,-316289.4944480821
4200,-453682.94033805426
4233,-377317.4105126052
4332,-260551.50648123762
4439,-450612.03675290564
4461,-399301.6523571315
4523,-503082.6713892058
4674,-745889.5734645488
4738,-854232.3705914407
4925,-359786.87449195934
5064,-739385.9217293644
5195,-349266.2606004564
5242,-568970.4986475364
5255,-418858.19802887185
5285,-604098.768194438
5295,-192107.82522536154
5300,-573180.0603324975
5316,-270079.94544949563
5378,-646150.8645111338
5436,-266149.19174657256
5491,-287096.1573675201
5508,-663012.814521057
5835,-705646.3623470964
5850,-698467.2087335502
5879,-465387.66464675736
5909,-816738.1743805074
5911,-685548.1816186046
5934,-489582.271906391
5949,-387559.01721885096
5986,-481070.017228997
6104,-706633.8498147561
6138,-323902.95424788876
6197,-233169.4844092577
6264,-797708.3952147008
6268,-383137.81523556623
6297,-575231.295175203
6436,-670469.1524140877
6511,-629230.4395604584
6601,-473933.72563306964
6631,-540426.3412572733
6726,-647160.7728275125
6803,-333440.2092472778
6920,-485713.50093003653
6952,-474150.3440014181
7121,-231746.1946626929
7131,-406751.1224918152
7221,-856472.4898354183
7253,-667151.417942195
7363,-556514.629746432
7411,-429493.2931861043
7458,-256196.3277255386
7502,-455916.31346576964
7517,-747515.4931625233
7543,-350577.0642801926
7618,-672902.418611262
7699,-588214.8009462187
7779,-355449.55443814496
7815,-695486.75907627
7831,-556129.818962884
7848,-300007.2985169522
7934,-166510.33084242162
7970,-395236.87079352594
8036,-746114.2139076273
8059,-670638.2461799765
8062,-346265.53719522443
8098,-691679.654157748
8106,-477008.8758942574
1,-122527.84572086614
65,-47819.8186808673
117,-60180.36632249886
138,-71263.80190450475
173,-153802.70695678747
230,-117770.57402426204
306,-69311.7312344935
327,-243620.64796593203
564,-238440.17946992378
659,-52005.64106792359
661,-134350.93196895346
929,-73870.57320379622
1151,-105677.23214436833
1230,-65876.65109906357
1364,-189594.50349947586
1557,-356870.4474282174
1707,-71881.68968264488
2079,-144001.36877348402
2644,-86545.31347725776
2689,-104060.84148287721
2723,-92306.20649228824
2744,-141708.60676410943
2853,-114151.66034194187
2855,-86297.25195251661
3162,-277895.6337120578
3168,-174006.55159211648
3189,-108904.50603918642
3279,-155577.97644894532
3336,-176262.2781694548
3439,-95571.42689481546
3696,-166252.0345583693
3887,-72521.05192213276
3920,-225317.3670547063
3957,-103489.9453612854
4096,-67991.63778742848
4300,-101638.45449198503
4335,-162491.68884742897
4497,-170801.4832804964
4581,-176058.05080086392
4669,-152528.33348167277
4789,-193543.56223657308
5175,-68005.91249477798
5220,-65162.3521426589
5359,-82936.59106247236
5389,-113189.90573914064
5442,-48765.960801502435
5466,-204725.96957093631
5482,-122091.03362468757
5665,-185490.34664543616
5767,-50254.04635120232
5848,-273100.17621350917
5916,-131975.95962903704
5977,-188221.66886884108
6052,-86093.5225422062
6080,-88625.52806016937
6364,-207450.37900743983
6399,-113834.01555331037
6550,-241530.46884517226
6590,-168793.73336298758
6907,-86061.49177463687
6910,-183796.44660690517
6976,-208041.3514766215
7062,-122466.32605067061
7271,-89689.9208818831
7284,-45666.59228793249
7345,-414282.39161099016
7644,-75418.14093341195
7770,-70397.49419620202
7811,-51955.43385184579
7885,-186990.08134469524
8000,-34225.436352283694
8069,-83597.74129077427
2,-586974.3087162221
24,-333265.71437566454
126,-562942.1759748203
145,-624907.9175696839
352,-335292.5531121726
373,-543314.76026937
584,-581199.8371313992
629,-540942.5335199044
688,-649197.7706435828
696,-772362.7218443946
798,-399810.18199650163
847,-631101.8443601818
877,-601744.6061167124
970,-561443.6736809334
985,-718428.2399444577
1093,-378259.21730725875
1198,-327947.2996700879
1217,-515290.1763667124
1234,-633841.6166702267
1256,-551200.9321882054
1353,-712177.9912984887
1400,-540791.6386638179
1401,-699213.786445843
1488,-603959.3477057422
1528,-423010.4836408318
1558,-474174.2742214548
1759,-534151.4657131829
1839,-472438.83285029954
1899,-515237.12265216646
1920,-573412.0505107369
1985,-659591.576571693
2003,-421883.1683072987
2059,-585346.6285807228
2106,-455020.67409217556
2141,-557166.3547744114
2322,-726244.9222429348
2327,-676057.4907877278
2335,-371870.56316712475
2443,-438603.74123570445
2501,-402858.5943731724
2571,-538530.0015134036
2592,-496312.595169225
2603,-507784.61019197584
2604,-395955.4711585278
2676,-574974.3264681412
2688,-707706.7101506589
2706,-745522.2905801911
2714,-393067.8838461092
2717,-472400.34324333846
2743,-552977.4688809353
2761,-398924.0631445882
2790,-429168.37592154584
2802,-778413.0130050306
2826,-424087.2036253565
2910,-300163.28460698
2926,-522620.82295756205
3004,-496430.1261784231
3031,-491555.9336636968
3144,-568132.8155043332
3161,-574588.1346657961
3232,-372562.44813807966
3265,-712147.5624519803
3365,-552501.7671720656
3377,-513414.9835380369
3448,-593067.6157162167
3501,-585776.781500483
3529,-599015.4605535168
3591,-515263.0592636365
3612,-300362.5807471183
3838,-503310.3090123203
3946,-606825.6456094293
3956,-673434.0281042366
3969,-540288.1521565239
4076,-513303.2465796539
4106,-626011.0285488471
4122,-460608.2487657623
4169,-491514.42328923056
4248,-662400.0292789908
4333,-737890.9358781772
4505,-703677.0124021563
4512,-466034.4623092927
4517,-467142.1556915785
4546,-529958.4041448745
4553,-511186.38771601656
4604,-549222.5267570711
4653,-385420.80048842164
4673,-446112.34075494413
4840,-389654.1990878963
4849,-263497.83771206695
4861,-394214.6033828487
4866,-566041.5629055888
4914,-495595.97827298346
5052,-553564.6032556951
5183,-548483.6553245204
5201,-637602.3849282392
5357,-405244.4800683384
5399,-399003.76823015587
5414,-473481.2831777029
5435,-363903.0264683402
5441,-839965.6455827099
5449,-396653.3822029355
5456,-511298.11898747616
5504,-348422.7881559482
5523,-539899.0823911956
5608,-739348.3390861911
5613,-465962.0654736363
5628,-745690.6969705815
5654,-633539.0493517845
5664,-454614.03857745335
5693,-841797.7945639065
5698,-440263.7705657034
5731,-377644.4301393294
5784,-651952.3388713584
5827,-417484.65334055107
6078,-625492.5965183383
6095,-484352.7152274329
6103,-560351.9339972998
6177,-477293.31810861547
6304,-570083.8559353772
6374,-357179.19062373094
6382,-813404.0740660535
6569,-644694.5578019915
6584,-581966.5500360227
6609,-723325.7475378703
6628,-553001.7267785978
6642,-721841.464714399
6646,-801632.6973732562
6682,-647612.9358737773
6744,-289111.98101497936
6802,-507909.4272503545
6835,-547895.4949218997
6922,-682096.5947044168
6942,-319759.6899670039
6992,-391186.8163613761
7020,-557059.0026442012
7035,-609068.7575656025
7074,-405921.60212296364
7079,-572108.507017034
7229,-317299.19149892865
7289,-424312.91081890435
7301,-682016.2413153476
7332,-368631.41476436495
7390,-653460.7799356271
7451,-677813.6009072191
7682,-379445.8949069916
7721,-727498.9767835496
7780,-423434.38348108425
7800,-504172.4838061639
7841,-476798.0426893715
7930,-519659.89270334126
7941,-664119.9321233921
8037,-381152.0279333384
8063,-757426.6882991496
8100,-431593.63610639394
8124,-675815.7198307815
8180,-447498.17266597605
3,-594224.0002104229
37,-481996.1433071334
57,-753583.7794003824
80,-698876.4372340785
213,-532242.2779849587
239,-627341.475045618
276,-877035.3201752395
333,-518515.21817497147
372,-435557.65483555914
397,-662152.4473428624
442,-531596.951498208
527,-591534.4447351207
596,-784289.229841813
651,-517441.3311089295
740,-658312.5768824054
777,-453745.862437212
797,-799682.2103294468
812,-1079301.5601245116
875,-569642.7861160081
896,-542375.0627936637
1012,-399595.668971161
1064,-619255.2165329426
1131,-676109.4918158447
1139,-503668.9692929437
1371,-767517.3457917094
1474,-653992.9850073984
1485,-973893.5070582716
1498,-470633.62544323574
1501,-886389.8517621404
1554,-621215.7867126005
1599,-700724.8820387202
1604,-553952.0416629871
1612,-804990.9949130429
1818,-814291.1996514567
1898,-540125.0316244775
1961,-675440.3999030164
1973,-699664.5209974879
1991,-496302.65409615636
2008,-948787.8889276095
2014,-479167.4556052318
2062,-1035342.9200763783
2124,-698262.8187846693
2145,-1008896.3959255761
2155,-545813.3059133443
2227,-682981.009069562
2247,-641039.8038609034
2479,-833330.6758053021
2754,-322473.4691881339
2765,-766108.734740262
2783,-653081.5369875003
2847,-419309.29567169823
2858,-675475.488682737
2876,-742245.2600022649
2884,-635361.3302372035
3009,-609382.4653683238
3037,-814252.9671779115
3150,-898009.5336228241
3187,-563919.4950648074
3200,-522693.6057883437
3234,-483740.84653190104
3350,-593639.2916558746
3354,-516348.28665430634
3408,-446686.5737678182
3423,-930180.7242306292
3473,-923129.5037981306
3504,-481490.94415446674
3525,-789404.8086591342
3563,-524922.7538252993
3755,-569026.0358880295
3804,-925641.5533467906
3854,-583724.0098160604
3859,-727088.6700746419
3860,-794675.3854687392
3936,-709084.6851237334
3943,-666825.6676216914
3952,-755816.8378417419
4039,-780926.058008039
4132,-481766.4927940519
4162,-715230.4151621386
4381,-725130.7539529686
4382,-602438.8336200936
4465,-812601.2402115543
4493,-776041.400917603
4499,-693988.3997397181
4533,-651000.3924042927
4562,-903899.5390770781
4630,-940073.5215560555
4694,-960187.8009625702
4715,-925737.2799079084
4726,-854059.4283514415
4916,-581177.4500162287
4929,-373847.476693731
4936,-448847.92544305127
4940,-640801.6478128263
4982,-805567.0140465797
4988,-475680.8761797849
4991,-551924.335236775
5019,-427079.5762776637
5025,-932162.350985144
5059,-532280.6601107669
5256,-717163.8802764867
5331,-964527.6240827056
5337,-657405.3223719919
5353,-690911.6589404292
5361,-729149.3223302128
5479,-998894.2105082489
5498,-626180.4638302143
5515,-647424.888043833
5524,-857396.5015404389
5525,-993471.6229217097
5527,-629153.9808607745
5573,-468845.6490288234
5668,-494552.7689346692
5696,-646459.7111665506
5766,-900025.8823707507
5780,-505089.38686645316
5869,-608839.428677424
5875,-512501.1755962281
5975,-819913.8346080441
6029,-688340.6849889407
6085,-723217.3407448813
6109,-900718.9221091879
6121,-809094.8191176289
6126,-685615.4361738807
6143,-628096.6464704012
6144,-484628.6401739402
6171,-801243.6438515584
6187,-809653.062126224
6204,-708908.4678623846
6224,-850432.2797130912
6249,-827068.0689893969
6261,-672313.0857879237
6291,-380515.80278820463
6307,-754984.9360988598
6309,-958305.9954445246
6319,-710321.1311544763
6481,-649765.735382012
6570,-772791.0996325575
6579,-817650.5927989125
6593,-499443.8402872709
6604,-806600.6171360076
6671,-1010747.0893075719
6706,-645951.6052055184
6763,-448690.5404122606
6764,-824615.2935392801
6849,-1087143.1011008474
6868,-718312.3297429068
6874,-966115.5322003347
6926,-668882.3333430918
6967,-1111270.8641641398
6990,-679895.1180736752
7015,-542940.5774035056
7107,-752360.1773102776
7138,-610500.9308884775
7168,-619500.5741522158
7231,-667990.2966960033
7309,-824726.8298754505
7389,-548672.5724506218
7463,-460594.9059247725
7465,-521274.115066726
7511,-836705.6096238468
7595,-729210.4960522382
7600,-374265.4606258708
7648,-962371.8420635762
7661,-649713.0357804317
7737,-775025.3035089937
7774,-450328.48839515465
7850,-365060.3791876434
7917,-690386.4833780717
7984,-507822.96674589335
4,-733571.6738271993
6,-963703.9677588431
45,-202109.763882748
56,-898869.625311772
72,-913803.5059995363
74,-752481.9708773103
100,-917584.685979521
101,-933171.1459970324
128,-861101.9805176689
188,-992363.9433677165
272,-608905.0291296988
297,-782639.2620367237
346,-851022.4529340079
392,-680808.2416577316
396,-357173.8705899257
492,-357848.81954145763
534,-865280.3217089435
547,-785423.1315533398
583,-557186.4309116235
601,-706894.5305436512
623,-483085.1038555056
628,-592558.6192406937
770,-826091.1854383694
771,-1052799.7256894344
814,-480647.5630538051
815,-792719.4234648771
863,-1107800.7317522184
905,-489874.974476135
915,-563756.5757000578
967,-424259.5682714589
1036,-425497.37116513384
1075,-1070964.089509908
1193,-658973.3612550631
1228,-691689.2288426837
1236,-754862.5720215805
1314,-466363.43471959134
1317,-990388.1899059912
1386,-953939.2280754449
1431,-574903.8516917168
1437,-843686.8948283932
1539,-813372.5093772347
1549,-805796.3486728661
1617,-605017.188342777
1647,-843880.7616038711
1649,-584097.9220367234
1678,-513296.7669999359
1716,-534340.9862671924
1797,-756756.9394245559
1806,-659510.9369230225
1829,-903003.567092737
1854,-743830.2229421402
1988,-561315.929037861
2010,-459270.60330386844
2011,-820896.2673847844
2029,-1020164.96527989
2031,-674801.978641927
2140,-858684.4129313368
2266,-760487.1052691672
2331,-969032.2000579758
2337,-869969.8935942858
2340,-561233.151322336
2360,-893221.2093271569
2361,-732944.9763087226
2582,-646681.1153213938
2590,-535935.7715316191
2615,-493644.41857120115
2629,-431302.0620971822
2657,-903118.0819239983
2695,-905919.322087488
2763,-477431.18153953546
2793,-912319.7321272858
2903,-763329.6600110277
2917,-1102416.6548423795
3051,-667678.767784404
3093,-801272.5340265293
3211,-994353.4435910837
3236,-279271.1162005484
3305,-1227849.769421686
3360,-796193.417333324
3502,-896994.1706049993
3541,-384892.67077402375
3565,-407597.1199836069
3624,-1113582.2525372799
3876,-357272.52632318845
3880,-1126324.9167077069
3970,-888721.4368310982
3972,-419343.18691619375
4128,-755628.059640818
4154,-1170491.7045697682
4174,-856500.0898472823
4192,-548158.3059610026
4201,-523888.8883104972
4212,-1188379.8963206145
4245,-599805.5150201374
4292,-783131.8508657746
4298,-970868.4009521395
4321,-432054.21522246767
4325,-712794.3696360603
4403,-873570.9593328065
4481,-339871.6974671943
4526,-545218.3174233561
