i,j,w,kappa,type
0,832,0.25831739494719663,-106.73152435834653,forman
0,1123,0.21416337916826675,-127.77430566961988,forman
0,2295,0.18548700350131617,-143.1097031393775,forman
0,2328,0.28468319241291906,-132.0774707010944,forman
0,3393,0.09631257615616248,-185.7174868898599,forman
0,3561,0.23325213562567831,-117.72994351131092,forman
0,3572,0.1658933160030141,-144.34654640811777,forman
0,5242,0.8000699663120705,-82.48719931236012,forman
0,5300,0.22347365127240765,-137.9777747616888,forman
0,6601,0.12170181988797348,-203.8406724118,forman
0,6726,0.07807078160963049,-252.22939785450944,forman
0,6952,0.3207530944869682,-107.7445521246989,forman
0,7543,0.10782561790149277,-128.40426249555736,forman
0,7970,0.1613599518190001,-121.87526614450205,forman
0,8098,0.11256071483667492,-214.16681361118,forman
0,8106,0.08638888469989725,-195.00328637026848,forman
1,661,0.22167109749909383,-77.27290268635369,forman
1,1151,0.6703323070939996,-39.42852252624271,forman
1,5220,0.08504370489571271,-81.68468176270147,forman
1,5359,0.08360203043095342,-61.41615325463668,forman
1,5389,0.370904458577816,-43.548747872042696,forman
1,5482,0.285852955412486,-41.96651029084229,forman
1,8069,0.10564315262720407,-61.32945352996839,forman
2,877,0.07345459514300451,-193.55955983587174,forman
2,1256,0.10431737146064646,-179.68025553993812,forman
2,1400,0.10935448599441051,-175.41604673573354,forman
2,1920,0.19371192526497805,-169.36372196862646,forman
2,2327,0.09729470329709484,-201.96025880535433,forman
2,2443,0.16881028466065331,-168.51160853835813,forman
2,2571,0.07366635554622866,-216.98898851714324,forman
2,2714,0.0742444969429672,-199.45298422936875,forman
2,3501,0.32062376107155366,-138.91688480406683,forman
2,4106,0.14340117106590997,-204.8649246564071,forman
2,4248,0.29214355280508814,-138.5120171817606,forman
2,4604,0.1759077553299654,-164.42866998978653,forman
2,5183,0.2669799039789428,-147.95549019264288,forman
2,5664,0.24358851582493282,-133.0743171477134,forman
2,6103,0.4163423261198398,-126.63945806346504,forman
2,6584,0.24845784458928627,-140.15379261848113,forman
2,6628,0.29994438227956194,-122.94799170080422,forman
2,7074,0.12052996656403861,-174.03169916975594,forman
3,239,0.5034107937664876,-106.3908633841458,forman
3,527,0.10839938489990039,-211.21555182259678,forman
3,896,0.1795727434967427,-152.88076686254539,forman
3,1131,0.1060112011739559,-177.2400794625235,forman
3,1612,0.12036180442831589,-187.1247155344596,forman
3,1961,0.25230836648202176,-156.74137398575726,forman
3,2227,0.0927996943519389,-219.05776914319924,forman
3,2884,0.13422027134629333,-169.55031521122635,forman
