i,j,w,kappa,type
0,832,0.25831739494719663,-54.102593439427054,forman
0,1123,0.21416337916826675,-38.311026745444366,forman
0,2295,0.18548700350131617,-46.98766449500268,forman
0,2328,0.28468319241291906,-33.58239388041176,forman
0,3561,0.23325213562567831,-50.569225854427216,forman
0,3572,0.1658933160030141,-55.92530959628549,forman
0,5242,0.8000699663120705,-35.29122103688344,forman
0,5300,0.22347365127240765,-54.28007488991457,forman
0,6952,0.3207530944869682,-40.22900645650505,forman
0,7970,0.1613599518190001,-38.354420302277916,forman
1,661,0.22167109749909383,-5.985302600521534,forman
1,1151,0.6703323070939996,-11.832065477532266,forman
1,5389,0.370904458577816,-13.606341412480898,forman
1,5482,0.285852955412486,-11.607336204909208,forman
2,1920,0.19371192526497805,-62.453562434619364,forman
2,2443,0.16881028466065331,-51.57622530892975,forman
2,3501,0.32062376107155366,-47.38041138252998,forman
2,4248,0.29214355280508814,-56.921639069908316,forman
2,4604,0.1759077553299654,-59.69194103552711,forman
2,5183,0.2669799039789428,-60.404717498707534,forman
2,5664,0.24358851582493282,-46.71317974217979,forman
2,6103,0.4163423261198398,-45.909511822593075,forman
2,6584,0.24845784458928627,-60.44644479315096,forman
2,6628,0.29994438227956194,-38.66163476095567,forman
3,239,0.5034107937664876,-17.340502196158063,forman
3,896,0.1795727434967427,-37.260257703974766,forman
3,1961,0.25230836648202176,-33.24279240439324,forman
3,6085,0.19170442971238688,-19.423704806076852,forman
3,6926,0.20534081043219157,-50.95595711646188,forman
4,100,0.2626481150399203,-54.532061954395125,forman
4,815,0.38282130792635194,-44.499285603191346,forman
4,1317,0.30257485865622297,-39.91747639988674,forman
4,2266,0.8032054179195218,-33.014770442170786,forman
4,2360,0.16893419540967078,-47.45001323933869,forman
4,2793,0.16917448748638733,-50.33114737847398,forman
4,5443,0.1638262226381297,-55.90691827299042,forman
4,7503,0.2894258180608929,-40.110883818920534,forman
4,7720,0.2111981559196713,-44.72593286011445,forman
5,2993,0.3506525392360984,-26.97552161713198,forman
5,3934,0.1711874385949344,-45.68864665488249,forman
5,3944,0.30302249548103877,-38.117646210609145,forman
5,5477,0.7216430285688741,-24.61791089837098,forman
5,6426,0.2736946829216985,-40.408349410371905,forman
5,7026,0.20231188471992795,-48.71448669127838,forman
5,7281,0.1702632694670684,-44.89164524510804,forman
5,7479,0.5693101202496967,-26.20626473898697,forman
6,128,0.17653884751282833,-49.81381829778049,forman
6,279,0.14839261966243772,-50.03004958988927,forman
6,2361,0.2807513222872273,-57.114172283955774,forman
6,2695,0.2725929797346976,-63.70684949709191,forman
6,2917,0.26575226764535076,-67.00014665795206,forman
6,4245,0.2508865628281429,-41.97426779408883,forman
6,4817,0.20712499186533856,-37.62335075474793,forman
6,6136,0.4274202697459852,-46.04503550628674,forman
6,6298,0.6928704654123907,-44.96375507727787,forman
6,6470,0.21839995306813687,-62.71237230817581,forman
6,6518,0.1855795696843693,-71.88563144290711,forman
6,7118,0.2449319548215498,-59.72361682005146,forman
7,5701,0.4072664318271514,2.0,forman
9,847,0.2828158379363859,-33.772281091019394,forman
9,1232,0.2497544284391338,-49.05288234365814,forman
9,3534,0.169847813527072,-38.582173085330965,forman
9,5441,0.2832466122458685,-25.938533994160146,forman
9,5693,0.3397099064621258,-28.557377750931785,forman
9,6382,0.27036827953278225,-31.01571803189676,forman
9,6646,0.5149603727302297,-28.38357456459978,forman
9,7390,0.37106556353730863,-39.445275735040326,forman
11,7012,0.5846580860809436,2.0,forman
13,716,0.21117380493564694,-25.036469159062634,forman
13,3746,0.18099365655454824,-29.819783097637064,forman
13,4048,0.24051854448926457,-33.34967134847668,forman
13,7113,0.2111284743252215,-37.58448042223199,forman
14,1147,0.26008678757585635,-32.47311127427643,forman
14,1172,0.24366285546768707,-34.84329630394984,forman
14,1572,0.26962638098086583,-34.54670925653183,forman
14,4805,0.2149895148408129,-42.21052426526158,forman
14,6608,0.16811636513614048,-47.83126124451848,forman
14,6904,0.14740203550818057,-39.14986727039836,forman
15,38,0.15485680196751148,-39.68286222974954,forman
15,685,0.2774033733935901,-47.316212204177994,forman
15,937,0.5244552787344391,-33.19386028937585,forman
15,2270,0.244143118904567,-38.26178623622563,forman
15,4380,0.155638327870248,-40.619541262396865,forman
15,4748,0.419066310921091,-29.351890753729386,forman
15,6032,0.27306407484802014,-43.93180136894411,forman
15,6351,0.20308761468506775,-40.34388980763229,forman
15,7883,0.484212174105972,-43.880088911133825,forman
16,135,0.3615551967221784,-27.91042541636774,forman
16,1387,0.2439740643969152,-28.156193904725864,forman
16,1855,0.2765140531683344,-34.60323942145761,forman
16,2295,0.15840072637826202,-40.00273797178579,forman
16,3042,0.16478301832402745,-26.527290885379944,forman
16,4233,0.28673104117242265,-33.488897808962854,forman
16,6803,0.4740572519837551,-24.142683845687678,forman
16,7543,0.264020455369815,-23.311986541076173,forman
17,1288,0.19196182736054837,-28.881255299781294,forman
17,1623,0.293024721157248,-36.33290766484749,forman
17,2770,0.15670332790838143,-44.28504948183647,forman
17,3255,0.1722508034429975,-34.77709931921646,forman
17,4747,0.20245819285274536,-32.445625306514344,forman
17,6090,0.2717059566487788,-34.55778495886415,forman
17,7449,0.20509973963695732,-29.404873407083592,forman
18,3844,0.32058411727103764,-11.590635672538777,forman
18,5544,0.24758546828678168,-4.230859140650129,forman
18,6754,0.18197464385430737,-12.79647451674509,forman
19,249,0.1795160045283037,-13.601578977983962,forman
19,570,0.1503900759957943,-10.971219142434846,forman
19,2660,0.19882499864535919,-12.509896413882927,forman
20,98,0.15637209571299204,-36.71886192128509,forman
20,4027,0.1893503669850923,-27.820815372520507,forman
20,5483,0.19590582296572406,-23.059796413008602,forman
20,8040,0.20641638530727022,-17.042287839869275,forman
21,623,0.16594480728195637,-34.48901239432511,forman
21,1974,0.40736573555220185,-16.15434746609373,forman
21,6699,0.3194835485434992,-14.235350693569568,forman
21,6759,0.3850660696870513,-18.882104636782685,forman
23,1041,0.6468293096781307,-18.16298525310823,forman
23,2843,0.2585346260337012,-18.059498427243945,forman
23,5370,0.2522093021362321,-14.670478465954815,forman
23,7987,0.2443255571625077,-17.233578002510747,forman
24,1093,0.19529042795139848,-29.74230719587497,forman
24,3377,0.17932696849944507,-43.012179129079584,forman
24,4076,0.24642386454037885,-38.945036504893565,forman
24,5504,0.1717053172393125,-24.408900621108195,forman
24,6942,0.28320855603296313,-20.309999267925164,forman
24,7345,0.19605914387686432,-37.506886074023214,forman
25,3489,0.1867952541435065,-6.59397110241102,forman
25,6455,0.36098627499486563,-8.634905217184595,forman
26,109,0.16179685566027496,-53.795419867563,forman
26,860,0.3041907211975406,-73.50262802785227,forman
26,1155,0.25089809618650544,-65.73307422437158,forman
26,1252,0.1972280391990088,-46.211317736863876,forman
26,1425,0.5634650029350174,-61.291814997302176,forman
26,3387,0.29131416641600044,-60.28518317793204,forman
26,3686,0.23731494154234056,-45.54617312300862,forman
26,4095,0.36506016893000987,-50.783565171059955,forman
26,4558,0.14730500854217105,-69.37964811618951,forman
26,4567,0.2359877613024497,-49.5084206028977,forman
26,5893,0.24910049740582435,-59.230806105135564,forman
26,5910,0.4303633905981139,-62.68020311192425,forman
26,6769,0.41965740927342093,-66.60359256217018,forman
26,7384,0.3235371367247462,-62.83613327110845,forman
28,481,0.4621840707725005,-26.593482444107426,forman
28,886,0.24595524358940474,-20.790813131738503,forman
28,1932,0.2374860238303642,-24.80521827411715,forman
28,2390,0.20327374552999256,-17.957320918439283,forman
28,5358,0.15408147952710158,-34.83401140796752,forman
28,7748,0.1539817019644351,-23.713590140758754,forman
29,2059,0.15552765011415587,-22.257899546826348,forman
29,2926,0.22850229897678273,-28.992166116892555,forman
29,3946,0.17513132978295085,-36.509453522749126,forman
29,4217,0.530492225445704,-17.37042115423396,forman
29,7274,0.22402204369261816,-16.91401322188916,forman
30,1411,0.4695841690674469,-37.302252880482726,forman
30,2065,0.6483806073277558,-40.339971483846114,forman
30,2902,0.21496820681469958,-64.16292904333332,forman
30,3418,0.8594891916799945,-37.416314992892815,forman
30,4214,0.23446454060926755,-57.20316868870205,forman
30,4592,0.258742654659479,-62.26333005676287,forman
30,5321,0.16128422454004143,-63.28215468143588,forman
30,5591,0.27607528343066406,-44.57511638900618,forman
30,5679,0.23776701434721534,-60.48751130944366,forman
30,6140,0.2254070356742286,-48.834558383092634,forman
30,6566,0.5236897299922627,-36.84251959164977,forman
30,6731,0.17637490244284235,-44.84493392773894,forman
30,6844,0.43373436788801395,-48.06727911661399,forman
32,642,0.24159222372351438,-29.092309202836184,forman
32,3370,0.5263158453513801,-15.447143457084687,forman
32,4836,0.4164746105875727,-13.709047573397303,forman
32,7186,0.14805115231967997,-6.122896700660517,forman
33,2636,0.3465059082074571,-25.895019029235065,forman
33,2906,0.36276760250549595,-24.041975017911305,forman
33,3886,0.18915784693327153,-27.83138932526935,forman
33,4575,0.19029737616239817,-25.740986292695005,forman
33,5027,0.4903873883303683,-20.30528251759086,forman
33,5973,0.6507482698277486,-20.85465286719473,forman
