u,v,w_uv,kappa_forman
0,2328,0.41640543937683105,1.6813437938690186
1,1151,0.48813191056251526,2.0
2,3501,0.6141061782836914,0.6341384649276733
3,239,0.8411372900009155,2.0
4,815,0.6949239373207092,-15.02223014831543
4,2266,0.8582895994186401,-0.18889665603637695
5,2993,0.6536663174629211,-0.33570706844329834
5,3944,0.5903976559638977,-0.038124680519104004
9,847,0.4144989252090454,2.0
13,4048,0.5025569200515747,1.162344217300415
14,1572,0.40092217922210693,-1.356626033782959
15,685,0.5551282167434692,0.37490737438201904
15,937,0.8655045032501221,-0.9356470108032227
16,135,0.6677728891372681,-0.8647273778915405
16,1855,0.40803655982017517,-14.618408203125
17,1623,0.5767456293106079,2.0
18,3844,0.45236003398895264,2.0
23,1041,0.47613319754600525,1.0404176712036133
24,1093,0.4346108138561249,-1.7413520812988281
26,860,0.436102032661438,-2.1394388675689697
26,1425,0.6703087687492371,-0.2366570234298706
28,886,0.5104514956474304,0.8385448455810547
30,1411,0.8013117909431458,-6.832277297973633
30,2065,0.4769291877746582,-5.487318992614746
30,3418,0.5805143117904663,-11.104844093322754
32,642,0.5041202306747437,-3.312839984893799
32,3370,0.4123711585998535,1.2123937606811523
33,2636,0.47756415605545044,0.051372408866882324
33,2906,0.431828111410141,0.5064318180084229
34,840,0.43039724230766296,2.0
35,2531,0.4051646590232849,2.0
36,2857,0.5265894532203674,2.0
37,1498,0.7478416562080383,2.0
42,300,0.5260873436927795,0.9034450054168701
42,1368,0.8450983762741089,-0.581011176109314
43,212,0.5489833950996399,-23.945716857910156
43,1423,0.5562697649002075,-23.95424461364746
43,2004,0.5094172358512878,-14.85777759552002
43,2339,0.4986220896244049,-31.801563262939453
43,3833,0.8947035670280457,-22.217756271362305
47,2307,0.4447943866252899,0.09396791458129883
47,2767,0.46090415120124817,0.9647310972213745
48,1432,0.6056528091430664,-3.546753406524658
48,1967,0.5263875126838684,-17.955299377441406
48,2821,0.42632290720939636,-2.3720455169677734
49,245,0.8254761099815369,2.0
54,2882,0.5903459191322327,2.0
57,276,0.4226195216178894,1.3714499473571777
58,1655,0.425757497549057,1.1660826206207275
60,2122,0.7034890055656433,0.49330317974090576
63,1496,0.42744287848472595,-2.534052610397339
63,1870,0.5410083532333374,-6.134670257568359
63,3813,0.45032432675361633,-11.44686222076416
68,3708,0.5763811469078064,0.6898096799850464
69,362,0.5804533362388611,2.0
73,1139,0.5069792866706848,0.321627140045166
