u,v,curv
0,16,63.0
0,135,64.0
0,158,70.0
0,377,70.0
0,832,68.0
0,872,68.0
0,1021,65.0
0,1123,63.0
0,1164,70.0
0,1387,66.0
0,1666,71.0
0,1855,61.0
0,1889,65.0
0,1897,68.0
0,1956,66.0
0,2044,57.0
0,2045,60.0
0,2131,70.0
0,2229,58.0
0,2295,60.0
0,2328,70.0
0,2401,68.0
0,2977,63.0
0,3040,70.0
0,3042,57.0
0,3149,70.0
0,3218,71.0
0,3235,70.0
0,3340,75.0
0,3393,63.0
0,3561,66.0
0,3572,66.0
0,3627,58.0
0,3782,56.0
0,3971,64.0
1,173,35.0
1,230,31.0
1,327,36.0
1,564,40.0
1,661,30.0
1,1151,24.0
1,1230,22.0
1,1364,34.0
1,2689,23.0
1,2744,32.0
1,2855,27.0
1,3168,35.0
1,3336,24.0
1,3920,32.0
1,3957,26.0
2,126,78.0
2,145,72.0
2,373,84.0
2,696,81.0
2,798,75.0
2,877,74.0
2,985,89.0
2,1093,68.0
2,1217,74.0
2,1234,75.0
2,1256,80.0
2,1400,81.0
2,1401,81.0
2,1759,89.0
2,1899,66.0
2,1920,84.0
2,1985,88.0
2,2106,79.0
2,2322,83.0
2,2327,83.0
2,2443,81.0
2,2501,60.0
2,2571,76.0
2,2603,81.0
2,2604,82.0
2,2688,87.0
2,2714,64.0
2,2717,73.0
2,2743,84.0
2,2761,71.0
2,2790,75.0
2,2802,85.0
2,3004,70.0
2,3031,85.0
2,3144,89.0
2,3377,72.0
2,3448,81.0
2,3501,77.0
2,3969,76.0
3,239,72.0
3,276,78.0
3,333,68.0
3,372,62.0
3,397,74.0
3,442,79.0
3,527,76.0
3,797,75.0
3,812,71.0
3,896,72.0
3,1131,74.0
3,1474,90.0
3,1599,76.0
3,1604,69.0
3,1612,73.0
3,1961,72.0
3,1991,72.0
3,2008,76.0
3,2155,78.0
3,2227,71.0
3,2247,74.0
3,2765,81.0
3,2847,67.0
3,2858,73.0
