u,v,w_uv,kappa_forman
2,3501,0.6141061782836914,2.0
3,239,0.8411372900009155,2.0
4,815,0.6949239373207092,0.4620976448059082
4,2266,0.8582895994186401,-0.18889665603637695
5,2993,0.6536663174629211,-0.33570706844329834
5,3944,0.5903976559638977,-0.038124680519104004
13,4048,0.5025569200515747,1.162344217300415
15,685,0.5551282167434692,1.5095951557159424
15,937,0.8655045032501221,0.5918804407119751
16,135,0.6677728891372681,2.0
17,1623,0.5767456293106079,2.0
26,1425,0.6703087687492371,1.1591176986694336
28,886,0.5104514956474304,2.0
30,1411,0.8013117909431458,-3.72145938873291
30,3418,0.5805143117904663,-2.6818432807922363
32,642,0.5041202306747437,2.0
36,2857,0.5265894532203674,2.0
37,1498,0.7478416562080383,2.0
42,300,0.5260873436927795,0.9034450054168701
42,1368,0.8450983762741089,-0.581011176109314
43,212,0.5489833950996399,-16.548086166381836
43,1423,0.5562697649002075,-11.001155853271484
43,2004,0.5094172358512878,-7.250099182128906
43,3833,0.8947035670280457,-11.551963806152344
48,1432,0.6056528091430664,0.8642033338546753
48,1967,0.5263875126838684,0.19167709350585938
49,245,0.8254761099815369,2.0
54,2882,0.5903459191322327,2.0
60,2122,0.7034890055656433,2.0
63,1870,0.5410083532333374,-1.9323792457580566
68,3708,0.5763811469078064,2.0
69,362,0.5804533362388611,2.0
73,1139,0.5069792866706848,1.4891817569732666
73,3411,0.7783709168434143,0.6052045822143555
83,515,0.563395082950592,-16.12419891357422
83,1684,0.5166739225387573,-10.548370361328125
83,3857,0.7693248391151428,-16.199199676513672
83,4005,0.6432641744613647,-16.389720916748047
85,3287,0.6402161121368408,-0.11098337173461914
85,3478,0.7036425471305847,-0.38524162769317627
88,204,0.5712109208106995,2.0
89,3584,0.6007711887359619,0.8682330846786499
94,2865,0.5328387022018433,2.0
95,753,0.8235464096069336,-0.818520188331604
95,2334,0.5508111715316772,0.3696550130844116
98,132,0.6211681365966797,2.0
100,1317,0.5213658213615417,-2.7932212352752686
100,1437,0.5528499484062195,-1.981053113937378
100,2360,0.6269856095314026,-6.182337760925293
101,2140,0.5694707036018372,0.9184825420379639
103,609,0.9279807806015015,0.4467872381210327
103,3060,0.5025579929351807,1.7517411708831787
104,582,0.5191910862922668,2.0
109,4095,0.5301520824432373,2.0
111,1847,0.7792794704437256,2.0
114,2056,0.59764164686203,2.0
116,1899,0.5013271570205688,-2.66508150100708
116,2826,0.7765708565711975,-2.346677780151367
116,3232,0.5922178030014038,-3.160888195037842
120,870,0.5981780886650085,0.9770145416259766
120,3889,0.5845086574554443,-0.06540381908416748
122,2675,0.6578856706619263,1.0096158981323242
126,145,0.6903324127197266,-0.387592077255249
126,2106,0.5994195938110352,0.025853872299194336
127,2089,0.5322051048278809,2.0
128,2361,0.5203821063041687,2.0
130,318,0.5231636166572571,1.4120662212371826
133,1052,0.7800107002258301,2.0
137,610,0.5377024412155151,1.4170958995819092
139,3891,0.8134930729866028,2.0
140,1625,0.5529742240905762,1.5037894248962402
142,2280,0.7299312353134155,-2.2637901306152344
143,1788,0.7100027799606323,-0.25665736198425293
143,1983,0.6431225538253784,-2.9219300746917725
144,2424,0.5948934555053711,2.0
145,2106,0.5293126702308655,0.41512441635131836
147,824,0.5320138335227966,0.8847358226776123
147,2391,0.785011887550354,0.6397590637207031
150,3752,0.6002580523490906,2.0
151,4064,0.7883650064468384,0.8355485200881958
155,271,0.6320861577987671,0.8527436256408691
155,2692,0.5426840782165527,0.172562837600708
159,873,0.5448213815689087,1.0917925834655762
159,1404,0.5959271788597107,0.9122313261032104
172,2705,0.5316597819328308,1.271622896194458
172,2782,0.684576153755188,0.7606284618377686
173,3168,0.6964520215988159,2.0
175,1965,0.8044801354408264,2.0
177,1427,0.6050870418548584,2.0
178,3214,0.5644198060035706,2.0
180,2659,0.5268605351448059,2.0
190,2256,0.5469338893890381,2.0
197,3180,0.8638337254524231,2.0
205,2565,0.6867747902870178,2.0
208,3327,0.984154462814331,2.0
211,2637,0.5746757388114929,2.0
212,1423,0.886092483997345,-11.566561698913574
212,2339,0.8197281956672668,-11.59262752532959
212,3833,0.5206385254859924,-11.015166282653809
224,3205,0.5815966129302979,2.0
233,2088,0.5695357918739319,2.0
247,2170,0.7125956416130066,2.0
249,576,0.5202127695083618,2.0
251,2117,0.5305382013320923,0.9735231399536133
251,2333,0.5165854096412659,1.026832103729248
253,3324,0.7849201560020447,0.6198614835739136
254,3744,0.5914747714996338,2.0
266,2428,0.5137349963188171,2.0
269,3247,0.5640266537666321,2.0
272,583,0.8446598052978516,-0.36712491512298584
272,1431,0.718640923500061,0.10929548740386963
273,1693,0.6368309259414673,-10.805657386779785
273,2268,0.8094561100006104,-6.321591854095459
273,2974,0.8116344213485718,-6.291889667510986
276,2008,0.5915809869766235,0.9531707763671875
279,2924,0.626617968082428,2.0
282,2189,0.5035802721977234,2.0
285,2184,0.566292405128479,2.0
288,1648,0.6865313053131104,2.0
292,3732,0.6604688167572021,0.7530169486999512
294,415,0.5762082934379578,0.8973077535629272
295,3280,0.6993784308433533,2.0
298,2492,0.5678839087486267,1.0475125312805176
300,1368,0.7256909012794495,-0.1422356367111206
309,2368,0.5614612698554993,-3.1040236949920654
309,2453,0.5115262866020203,-2.5500588417053223
310,2775,0.6182827949523926,2.0
312,2866,0.6720827221870422,2.0
315,1578,0.7995674014091492,-11.433841705322266
315,2403,0.9131349921226501,-16.157386779785156
315,2551,0.6304808259010315,-16.06574249267578
315,2727,0.6856223344802856,-11.221942901611328
317,1472,0.6499287486076355,0.07314181327819824
317,3415,0.5365743041038513,0.6950078010559082
318,2045,0.7565944790840149,-0.5453346967697144
320,3466,0.978142499923706,2.0
322,1099,0.5007925629615784,2.0
323,2069,0.520944356918335,2.0
325,2207,0.9281150698661804,2.0
330,3407,0.5320031046867371,2.0
343,2246,0.7848476767539978,2.0
346,3441,0.6912028193473816,2.0
356,3158,0.5244395732879639,0.9670331478118896
361,1315,0.8173196315765381,2.0
365,3624,0.6493244767189026,0.9147113561630249
366,454,0.6910600066184998,0.7404236793518066
367,849,0.6661399006843567,2.0
369,2598,0.5560654997825623,0.9427467584609985
372,3504,0.6737479567527771,2.0
373,970,0.5048499703407288,-2.441169500350952
373,1759,0.7625196576118469,-3.4349894523620605
373,2603,0.5158717036247253,-1.8807709217071533
374,1960,0.6779483556747437,1.0034754276275635
374,2699,0.6803065538406372,0.9965305328369141
377,3040,0.5612969994544983,0.30990099906921387
377,3149,0.5949780941009521,0.12770283222198486
379,2573,0.6191831231117249,0.9646239280700684
381,952,0.7091982960700989,-0.5447978973388672
381,3461,0.5028114318847656,-2.4983110427856445
383,2612,0.6526729464530945,-2.863229274749756
383,3197,0.7280879020690918,-3.147071599960327
383,3583,0.7546798586845398,-2.0939037799835205
386,4003,0.5457276701927185,2.0
389,3490,0.7976850271224976,0.6671149730682373
392,2337,0.5992664694786072,-2.1061577796936035
396,2340,0.5029200911521912,1.2164816856384277
397,1599,0.7040154933929443,2.0
400,2301,0.6954257488250732,2.0
402,3366,0.5282775163650513,2.0
413,1770,0.6819341778755188,2.0
414,2062,0.5867951512336731,0.05611562728881836
414,3710,0.5569866895675659,0.21644377708435059
415,1596,0.5186330080032349,1.1082422733306885
418,502,0.7517221570014954,2.0
421,3175,0.5609724521636963,2.0
422,580,0.6979485154151917,0.7081470489501953
423,2611,0.5547704100608826,2.0
429,2390,0.921561062335968,2.0
436,1141,0.7000452876091003,0.8207722902297974
439,1626,0.5205070972442627,0.9850854873657227
440,2488,0.5556901097297668,2.0
447,2713,0.5168718695640564,-2.003500461578369
454,3342,0.5247857570648193,0.3318040370941162
455,4004,0.5662780404090881,2.0
458,489,0.5805612802505493,0.2706416845321655
458,974,0.5651670098304749,0.35636258125305176
460,1433,0.7279477715492249,2.0
466,895,0.8600952625274658,2.0
471,1087,0.6121784448623657,0.9936647415161133
471,2639,0.608306348323822,1.0063552856445312
473,1140,0.811371922492981,2.0
