i,curv
0,2290.0
1,451.0
2,3053.0
3,2729.0
4,4037.0
5,3015.0
6,4273.0
7,88.0
8,0.0
9,3781.0
10,54.0
11,3.0
12,98.0
13,909.0
14,1396.0
15,3318.0
16,1703.0
17,1368.0
18,148.0
19,1013.0
20,1528.0
21,1683.0
22,209.0
23,884.0
24,1781.0
25,71.0
26,3455.0
27,24.0
28,1214.0
29,3658.0
30,3059.0
31,13.0
32,966.0
33,1314.0
34,214.0
35,379.0
36,437.0
37,3684.0
38,2103.0
39,921.0
40,0.0
41,0.0
42,271.0
43,2906.0
44,1911.0
45,961.0
46,448.0
47,1260.0
48,4155.0
49,2101.0
50,420.0
51,28.0
52,33.0
53,1424.0
54,2130.0
55,94.0
56,5876.0
57,3595.0
58,139.0
59,123.0
60,2483.0
61,0.0
62,455.0
63,1272.0
64,4.0
65,123.0
66,175.0
67,46.0
68,631.0
69,70.0
70,3108.0
71,1003.0
72,5616.0
73,3441.0
74,3272.0
75,514.0
76,676.0
77,62.0
78,1028.0
79,426.0
80,3593.0
81,14.0
82,293.0
83,5516.0
84,1446.0
85,2122.0
86,2194.0
87,29.0
88,787.0
89,1166.0
90,21.0
91,0.0
92,74.0
93,1491.0
94,1862.0
95,3050.0
96,287.0
97,1352.0
98,2705.0
99,159.0
100,4703.0
101,3375.0
102,1357.0
103,441.0
104,1771.0
105,897.0
106,81.0
107,1487.0
108,1363.0
109,1855.0
110,2138.0
111,444.0
112,6.0
113,857.0
114,502.0
115,1452.0
116,1255.0
117,70.0
118,1392.0
119,1180.0
120,803.0
121,1015.0
122,704.0
123,0.0
124,248.0
125,93.0
126,3219.0
127,193.0
128,3976.0
129,766.0
130,1289.0
131,335.0
132,2493.0
133,650.0
134,7.0
135,1793.0
136,0.0
137,1083.0
138,246.0
139,1235.0
140,3495.0
141,3407.0
142,1342.0
143,450.0
144,337.0
145,2464.0
146,492.0
147,137.0
148,2002.0
149,21.0
150,1931.0
151,2610.0
152,200.0
153,20.0
154,249.0
155,3667.0
156,3596.0
157,323.0
158,2723.0
159,2278.0
160,1381.0
161,0.0
162,581.0
163,1044.0
164,3394.0
165,11.0
166,940.0
167,6.0
168,175.0
169,1711.0
170,42.0
171,432.0
