edge_index,edges_used,betti0,betti1,triangles,betti1_tri
1,1,4095,0,,
5411,5411,1268,2583,,
10822,10822,726,7452,,
16232,16232,508,12644,,
21643,21643,405,17952,,
27054,27054,330,23288,,
32464,32464,277,28645,,
37875,37875,228,34007,,
43286,43286,198,39388,,
48696,48696,181,44781,,
54107,54107,161,50172,,
59518,59518,149,55571,,
64928,64928,133,60965,,
70339,70339,125,66368,,
75750,75750,118,71772,,
81160,81160,108,77172,,
86571,86571,101,82576,,
91981,91981,93,87978,,
97392,97392,90,93386,,
102803,102803,83,98790,,
108213,108213,74,104191,,
113624,113624,71,109599,,
119035,119035,70,115009,,
124445,124445,70,120419,,
129856,129856,68,125828,,
135267,135267,67,131238,,
140677,140677,64,136645,,
146088,146088,62,142054,,
151499,151499,58,147461,,
156909,156909,57,152870,,
162320,162320,56,158280,,
167731,167731,52,163687,,
