threshold,n,m_edges,beta0,beta1_graph,triangles,beta1_clique_approx
0.004918152573518403,4096,71906,124,67934,,
3.3900759483458515e-06,4096,391888,11,387803,,
2.8496585528614506e-08,4096,711869,4,707777,,
5.176360876602006e-10,4096,1031850,1,1027755,,
1.3453702381316379e-11,4096,1351832,1,1347737,,
4.3135310393829656e-13,4096,1671813,1,1667718,,
1.574789232258168e-14,4096,1991794,1,1987699,,
6.124448761529619e-16,4096,2311776,1,2307681,,
2.4740904822046593e-17,4096,2631757,1,2627662,,
9.877676192474364e-19,4096,2951738,1,2947643,,
3.83169565364266e-20,4096,3271719,1,3267624,,
1.3780655087683242e-21,4096,3591701,1,3587606,,
4.5346397038466744e-23,4096,3911682,1,3907587,,
1.3438995686731632e-24,4096,4231663,1,4227568,,
3.431081368222676e-26,4096,4551645,1,4547550,,
7.207522894176417e-28,4096,4871626,1,4867531,,
1.2038282662374202e-29,4096,5191607,1,5187512,,
1.4805218419003511e-31,4096,5511589,1,5507494,,
1.2568571745869126e-33,4096,5831570,1,5827475,,
6.58905231999521e-36,4096,6151551,1,6147456,,
1.8372839931017064e-38,4096,6471532,1,6467437,,
