threshold,n,m_edges,beta0,beta1_graph,triangles,beta1_clique_approx
0.00515394625719638,3072,40454,111,37493,254229,-216736
9.615187644840284e-07,3072,268728,14,265670,11575045,-11309375
3.68999013440024e-09,3072,497002,7,493937,40316964,-39823027
3.290771225953188e-11,3072,725276,1,722205,87247553,-86525348
4.223028368824176e-13,3072,953549,1,950478,152952873,-152002395
6.5940256252787144e-15,3072,1181823,1,1178752,238052820,-236874068
1.1122372031774135e-16,3072,1410097,1,1407026,343149484,-341742458
1.8946238917952204e-18,3072,1638371,1,1635300,469172986,-467537686
3.072695884985863e-20,3072,1866645,1,1863574,616362724,-614499150
4.414214632615601e-22,3072,2094919,1,2091848,785976542,-783884694
5.382738860309258e-24,3072,2323192,1,2320121,978646479,-976326358
5.304078512248752e-26,3072,2551466,1,2548395,1195309386,-1192760991
3.725841101788075e-28,3072,2779740,1,2776669,1437152126,-1434375457
1.79305912923626e-30,3072,3008014,1,3004943,1705413335,-1702408392
5.045795174567269e-33,3072,3236288,1,3233217,2001846495,-1998613278
