u,v,kappa_ollivier
383,3197,0.3056385242870203
1989,2463,0.0
554,2941,0.0
383,3583,0.0
369,2598,0.0
73,1139,0.0
797,2884,0.0
315,2403,0.6503274805927405
2755,3148,0.0
1155,2733,0.0
690,3968,0.0
2383,3152,0.0
379,2573,0.0
3187,3354,0.0
1298,1873,0.0
1998,2687,0.0
2240,3364,0.22829935819304414
130,318,0.0
1252,3686,0.0
474,2083,0.0
415,1596,0.0
300,1368,0.42027199770071966
486,3258,0.0
2993,3944,0.5368393634365076
295,3280,0.0
1243,1928,0.0
2148,2822,0.4893233772461636
761,1166,0.0
254,3744,0.0
1280,1939,0.0
389,3490,0.0
1076,2242,0.0
95,2334,0.47834209360476854
1192,3461,-0.2917718103101159
2635,2976,0.48973780338809625
94,2865,0.0
1093,1198,0.0
109,4095,0.0
3093,3502,0.0
1870,3631,0.0
137,610,0.0
3040,3149,0.44159251458328996
1523,2520,0.3680202859928734
145,2106,0.5310556036243361
2834,4085,0.0
1214,3688,0.0
1555,1857,0.0
2459,3033,0.41507828507217637
17,1623,0.0
2520,2713,0.34095582000779556
4,815,0.5525895693778472
1741,2216,0.0
2085,2730,0.0
155,2692,-0.08289785321492515
3062,3342,0.0
1496,1870,0.0
533,1667,0.4490922843232912
2834,3979,0.0
2665,3777,0.0
1887,3408,0.5488381947651633
3305,3502,0.0
190,2256,0.0
1003,1590,0.43136462983539126
3144,3265,0.0
555,2017,-0.2104812114909962
3492,3601,0.0
422,580,0.0
1004,3707,0.0
648,864,0.0
1963,2281,0.0
3119,3490,0.0
610,3396,0.0
1868,2895,0.0
645,3836,0.0
1943,3213,0.41400032217811644
2590,3972,0.4720687678378843
2322,2688,0.5136007451411766
1199,1582,0.5654276003825713
1505,2240,0.0
1912,2564,0.0
2188,3361,0.0
298,2492,0.0
707,3167,0.43753586897681573
547,3360,0.0
1095,2788,0.0
3083,3633,0.0
1632,3882,0.18300551990044034
2577,2626,0.0
503,3123,0.0
665,988,0.0
3131,3813,0.0
1081,1196,0.27614645886743383
495,2341,0.0
815,2266,0.4443078493165067
2293,3208,0.0
1014,1768,0.0
2721,3580,0.0
1899,3232,0.4915841760943902
2397,2981,0.0
1946,3923,0.0
100,1437,0.0
2426,3760,0.0
2309,3522,0.0
1300,1381,0.40505749731328267
414,3710,0.5130306587334985
54,2882,0.0
1903,2517,0.0
1554,3859,0.0
447,2713,0.0
3912,4056,0.0
2178,3532,0.0
155,271,0.0
2836,3584,0.0
1097,1772,0.0
1968,2582,0.2645158884017156
1075,2331,0.0
2249,2976,0.5102621966119038
1635,3399,0.0
1578,2551,0.5227437429414266
272,583,0.444731679909778
440,2488,0.0
1013,2742,0.0
2748,3086,0.0
3089,3381,0.38475741343259773
1144,3292,0.0
402,3366,0.0
15,685,0.0
1355,3956,0.0
429,2390,0.0
2059,2926,0.0
1528,2335,0.0
2951,3159,0.0
1549,2337,0.0
1544,3846,0.0
318,2045,0.0
3283,3664,0.0
1711,3239,0.0
1511,3081,0.0
1189,3508,0.0
3864,3918,0.0
330,3407,0.0
3066,3760,0.0
2698,3081,0.0
83,3857,0.6482444670798464
1838,2173,0.0
1233,2972,-0.4958390161761326
436,1141,0.0
1045,3534,0.0
2008,3150,0.0
2492,3722,1.1102230246251565e-16
159,873,0.0
2271,2978,0.0
473,1140,0.0
211,2637,0.0
1078,3624,0.0
2135,3521,0.0
1178,2500,0.0
507,1441,0.0
212,3833,0.4697369567756695
3033,3406,0.4852728215231812
1296,2988,0.0
1816,3852,0.0
1081,1667,0.2914558030452308
509,708,0.0
1738,3836,0.0
1590,1632,0.4554597798518867
