step,node,omega,phi,spin
0,0,0.1,0.0,1
0,1,-0.1,0.0,-1
0,2,0.08,1.5707963267948966,1
0,3,-0.08,1.5707963267948966,-1
1,0,0.09105997600479937,6.281685907059602,1
1,1,-0.09105997600479937,6.281685907059602,-1
1,2,0.07694002399520064,1.5722957269148805,1
1,3,-0.07694002399520064,1.5722957269148805,-1
2,0,0.08210220041302405,6.280186212832612,1
2,1,-0.08210220041302405,6.280186212832612,-1
2,2,0.07389779958697597,1.573795421141871,1
2,3,-0.07389779958697597,1.573795421141871,-1
3,0,0.07312666433497898,6.2786863407793065,1
3,1,-0.07312666433497898,6.2786863407793065,-1
3,2,0.07087333566502103,1.5752952931951762,1
3,3,-0.07087333566502103,1.5752952931951762,-1
4,0,0.06413336346189494,6.277186409116901,1
4,1,-0.06413336346189494,6.277186409116901,-1
4,2,0.06786663653810508,1.5767952248575825,1
4,3,-0.06786663653810508,1.5767952248575825,-1
5,0,0.06112229816681203,6.275686537980281,1
5,1,-0.06112229816681203,6.275686537980281,-1
5,2,0.058877701833187995,1.5782950959942021,1
5,3,-0.058877701833187995,1.5782950959942021,-1
6,0,0.05212893093592225,6.274186714228188,1
6,1,-0.05212893093592225,6.274186714228188,-1
6,2,0.055871069064077766,1.5797949197462955,1
6,3,-0.055871069064077766,1.5797949197462955,-1
7,0,0.049117906708877626,6.2726869781475045,1
7,1,-0.049117906708877626,6.2726869781475045,-1
7,2,0.04688209329112239,1.5812946558269791,1
7,3,-0.04688209329112239,1.5812946558269791,-1
8,0,0.04012447329282365,6.271187316276715,1
8,1,-0.04012447329282365,6.271187316276715,-1
8,2,0.04387552670717637,1.582794317697768,1
8,3,-0.04387552670717637,1.582794317697768,-1
9,0,0.03711349029183185,6.269687769210729,1
9,1,-0.03711349029183185,6.269687769210729,-1
9,2,0.03488650970816817,1.5842938647637546,1
9,3,-0.03488650970816817,1.5842938647637546,-1
10,0,0.02811999087071765,6.268188323164567,1
10,1,-0.02811999087071765,6.268188323164567,-1
10,2,0.03188000912928237,1.585793310809916,1
10,3,-0.03188000912928237,1.585793310809916,-1
11,0,0.025109049253507727,6.266689019039491,1
11,1,-0.025109049253507727,6.266689019039491,-1
11,2,0.022890950746492292,1.5872926149349924,1
11,3,-0.022890950746492292,1.5872926149349924,-1
12,0,0.016115484014844195,6.265189842723915,1
12,1,-0.016115484014844195,6.265189842723915,-1
12,2,0.019884515985155823,1.5887917912505687,1
12,3,-0.019884515985155823,1.5887917912505687,-1
13,0,0.013104583938809785,6.263690835423724,1
