step,node,omega,phi,spin,,
0,0,1,6.281685307,1,1,0
0,1,1,6.281685307,-1,-1,0
0,2,1,1.572296327,1,1,0
0,3,1,1.572296327,-1,-1,0
100,0,1,6.13391933,1,1,0
100,1,1,6.13391933,-1,-1,0
100,2,1,1.720062304,1,1,0
100,3,1,1.720062304,-1,-1,0
200,0,1,5.998344805,1,1,0
200,1,1,5.998344805,-1,-1,0
200,2,1,1.855636829,1,1,0
200,3,1,1.855636829,-1,-1,0
300,0,1,5.88270953,1,1,0
300,1,1,5.88270953,-1,-1,0
300,2,1,1.971272104,1,1,0
300,3,1,1.971272104,-1,-1,0
400,0,1,5.789265337,1,1,0
400,1,1,5.789265337,-1,-1,0
400,2,1,2.064716297,1,1,0
400,3,1,2.064716297,-1,-1,0
500,0,1,5.716411336,1,1,0
500,1,1,5.716411336,-1,-1,0
500,2,1,2.137570298,1,1,0
500,3,1,2.137570298,-1,-1,0
600,0,1,5.660848979,1,1,0
600,1,1,5.660848979,-1,-1,0
600,2,1,2.193132655,1,1,0
600,3,1,2.193132655,-1,-1,0
700,0,1,5.619018311,1,1,0
700,1,1,5.619018311,-1,-1,0
700,2,1,2.234963323,1,1,0
700,3,1,2.234963323,-1,-1,0
800,0,1,5.587756656,1,1,0
800,1,1,5.587756656,-1,-1,0
800,2,1,2.266224978,1,1,0
800,3,1,2.266224978,-1,-1,0
900,0,1,5.564489756,1,1,0
900,1,1,5.564489756,-1,-1,0
900,2,1,2.289491878,1,1,0
900,3,1,2.289491878,-1,-1,0
1000,0,1,5.547212625,1,1,0
1000,1,1,5.547212625,-1,-1,0
1000,2,1,2.306769009,1,1,0
1000,3,1,2.306769009,-1,-1,0
1100,0,1,5.534399459,1,1,0
1100,1,1,5.534399459,-1,-1,0
1100,2,1,2.319582175,1,1,0
1100,3,1,2.319582175,-1,-1,0
1200,0,1,5.524903483,1,1,0
1200,1,1,5.524903483,-1,-1,0
1200,2,1,2.329078151,1,1,0
1200,3,1,2.329078151,-1,-1,0
1300,0,1,5.5178686,1,1,0
1300,1,1,5.5178686,-1,-1,0
1300,2,1,2.336113034,1,1,0
1300,3,1,2.336113034,-1,-1,0
1400,0,1,5.512658053,1,1,0
1400,1,1,5.512658053,-1,-1,0
1400,2,1,2.341323581,1,1,0
1400,3,1,2.341323581,-1,-1,0
1500,0,1,5.508799186,1,1,0
1500,1,1,5.508799186,-1,-1,0
1500,2,1,2.345182448,1,1,0
1500,3,1,2.345182448,-1,-1,0
1600,0,1,5.505941537,1,1,0
1600,1,1,5.505941537,-1,-1,0
1600,2,1,2.348040097,1,1,0
1600,3,1,2.348040097,-1,-1,0
1700,0,1,5.503825405,1,1,0
1700,1,1,5.503825405,-1,-1,0
1700,2,1,2.350156229,1,1,0
1700,3,1,2.350156229,-1,-1,0
1800,0,1,5.502258405,1,1,0
1800,1,1,5.502258405,-1,-1,0
1800,2,1,2.351723228,1,1,0
1800,3,1,2.351723228,-1,-1,0
1900,0,1,5.501098053,1,1,0
1900,1,1,5.501098053,-1,-1,0
1900,2,1,2.352883581,1,1,0
1900,3,1,2.352883581,-1,-1,0
2000,0,1,5.500238824,1,1,0
2000,1,1,5.500238824,-1,-1,0
2000,2,1,2.35374281,1,1,0
2000,3,1,2.35374281,-1,-1,0
2100,0,1,5.499602576,1,1,0
2100,1,1,5.499602576,-1,-1,0
2100,2,1,2.354379058,1,1,0
2100,3,1,2.354379058,-1,-1,0
2200,0,1,5.499131443,1,1,0
2200,1,1,5.499131443,-1,-1,0
2200,2,1,2.354850191,1,1,0
2200,3,1,2.354850191,-1,-1,0
2300,0,1,5.498782577,1,1,0
2300,1,1,5.498782577,-1,-1,0
2300,2,1,2.355199057,1,1,0
2300,3,1,2.355199057,-1,-1,0
2400,0,1,5.498524246,1,1,0
2400,1,1,5.498524246,-1,-1,0
2400,2,1,2.355457388,1,1,0
2400,3,1,2.355457388,-1,-1,0
2500,0,1,5.498332957,1,1,0
2500,1,1,5.498332957,-1,-1,0
2500,2,1,2.355648677,1,1,0
2500,3,1,2.355648677,-1,-1,0
2600,0,1,5.49819131,1,1,0
2600,1,1,5.49819131,-1,-1,0
2600,2,1,2.355790324,1,1,0
2600,3,1,2.355790324,-1,-1,0
2700,0,1,5.498086422,1,1,0
2700,1,1,5.498086422,-1,-1,0
2700,2,1,2.355895212,1,1,0
2700,3,1,2.355895212,-1,-1,0
2800,0,1,5.498008755,1,1,0
2800,1,1,5.498008755,-1,-1,0
2800,2,1,2.355972879,1,1,0
2800,3,1,2.355972879,-1,-1,0
2900,0,1,5.497951243,1,1,0
2900,1,1,5.497951243,-1,-1,0
2900,2,1,2.356030391,1,1,0
2900,3,1,2.356030391,-1,-1,0
3000,0,1,5.497908657,1,1,0
3000,1,1,5.497908657,-1,-1,0
3000,2,1,2.356072977,1,1,0
3000,3,1,2.356072977,-1,-1,0
3100,0,1,5.497877122,1,1,0
3100,1,1,5.497877122,-1,-1,0
3100,2,1,2.356104512,1,1,0
3100,3,1,2.356104512,-1,-1,0
3200,0,1,5.497853771,1,1,0
3200,1,1,5.497853771,-1,-1,0
3200,2,1,2.356127863,1,1,0
3200,3,1,2.356127863,-1,-1,0
3300,0,1,5.497836481,1,1,0
3300,1,1,5.497836481,-1,-1,0
3300,2,1,2.356145153,1,1,0
3300,3,1,2.356145153,-1,-1,0
3400,0,1,5.497823677,1,1,0
3400,1,1,5.497823677,-1,-1,0
