step,node,omega,phi,spin
0,0,1.0,0.0,1
0,1,1.0,0.0,-1
0,2,1.0,0.0,1
0,3,1.0,0.0,-1
100,0,1.0,0.0,1
100,1,1.0,0.0,-1
100,2,1.0,0.0,1
100,3,1.0,0.0,-1
200,0,1.0,0.0,1
200,1,1.0,0.0,-1
200,2,1.0,0.0,1
200,3,1.0,0.0,-1
300,0,1.0,0.0,1
300,1,1.0,0.0,-1
300,2,1.0,0.0,1
300,3,1.0,0.0,-1
400,0,1.0,0.0,1
400,1,1.0,0.0,-1
400,2,1.0,0.0,1
400,3,1.0,0.0,-1
500,0,1.0,0.0,1
500,1,1.0,0.0,-1
500,2,1.0,0.0,1
500,3,1.0,0.0,-1
600,0,1.0,0.0,1
600,1,1.0,0.0,-1
600,2,1.0,0.0,1
600,3,1.0,0.0,-1
700,0,1.0,0.0,1
700,1,1.0,0.0,-1
700,2,1.0,0.0,1
700,3,1.0,0.0,-1
800,0,1.0,0.0,1
800,1,1.0,0.0,-1
800,2,1.0,0.0,1
800,3,1.0,0.0,-1
900,0,1.0,0.0,1
900,1,1.0,0.0,-1
900,2,1.0,0.0,1
900,3,1.0,0.0,-1
1000,0,1.0,0.0,1
1000,1,1.0,0.0,-1
1000,2,1.0,0.0,1
1000,3,1.0,0.0,-1
1100,0,1.0,0.0,1
1100,1,1.0,0.0,-1
1100,2,1.0,0.0,1
1100,3,1.0,0.0,-1
1200,0,1.0,0.0,1
1200,1,1.0,0.0,-1
1200,2,1.0,0.0,1
1200,3,1.0,0.0,-1
1300,0,1.0,0.0,1
1300,1,1.0,0.0,-1
1300,2,1.0,0.0,1
1300,3,1.0,0.0,-1
1400,0,1.0,0.0,1
1400,1,1.0,0.0,-1
1400,2,1.0,0.0,1
1400,3,1.0,0.0,-1
1500,0,1.0,0.0,1
1500,1,1.0,0.0,-1
1500,2,1.0,0.0,1
1500,3,1.0,0.0,-1
1600,0,1.0,0.0,1
1600,1,1.0,0.0,-1
1600,2,1.0,0.0,1
1600,3,1.0,0.0,-1
1700,0,1.0,0.0,1
1700,1,1.0,0.0,-1
1700,2,1.0,0.0,1
1700,3,1.0,0.0,-1
1800,0,1.0,0.0,1
1800,1,1.0,0.0,-1
