step,node,omega,phi,spin
0,0,0.55,0.0,1
0,1,-0.55,0.0,-1
0,2,0.08,1.5707963267948966,1
0,3,-0.08,1.5707963267948966,-1
1,0,0.5421305335669134,6.281982611895636,1
1,1,-0.5421305335669134,6.281982611895636,-1
1,2,0.07586946643308662,1.571999022078847,1
1,3,-0.07586946643308662,1.571999022078847,-1
2,0,0.5342532993026903,6.280775702549623,1
2,1,-0.5342532993026903,6.280775702549623,-1
2,2,0.07174670069730982,1.5732059314248596,1
2,3,-0.07174670069730982,1.5732059314248596,-1
3,0,0.5263682103680146,6.279564587889925,1
3,1,-0.5263682103680146,6.279564587889925,-1
3,2,0.06763178963198553,1.574417046084558,1
3,3,-0.06763178963198553,1.574417046084558,-1
4,0,0.5184751797369637,6.278349277164784,1
4,1,-0.5184751797369637,6.278349277164784,-1
4,2,0.06352482026303649,1.5756323568096986,1
4,3,-0.06352482026303649,1.5756323568096986,-1
5,0,0.510574120207597,6.277129780134572,1
5,1,-0.510574120207597,6.277129780134572,-1
5,2,0.059425879792403144,1.5768518538399112,1
5,3,-0.059425879792403144,1.5768518538399112,-1
6,0,0.5026649444130438,6.275906107084236,1
6,1,-0.5026649444130438,6.275906107084236,-1
6,2,0.05533505558695632,1.5780755268902473,1
6,3,-0.05533505558695632,1.5780755268902473,-1
7,0,0.4947475648331004,6.274678268835941,1
7,1,-0.4947475648331004,6.274678268835941,-1
7,2,0.0512524351668997,1.5793033651385417,1
7,3,-0.0512524351668997,1.5793033651385417,-1
8,0,0.4868218938063502,6.273446276761898,1
8,1,-0.4868218938063502,6.273446276761898,-1
8,2,0.04717810619364987,1.5805353572125849,1
8,3,-0.04717810619364987,1.5805353572125849,-1
9,0,0.47888784354281844,6.272210142797375,1
9,1,-0.47888784354281844,6.272210142797375,-1
9,2,0.04311215645718166,1.5817714911771077,1
9,3,-0.04311215645718166,1.5817714911771077,-1
10,0,0.47094532613717355,6.270969879453901,1
10,1,-0.47094532613717355,6.270969879453901,-1
10,2,0.039054673862826544,1.5830117545205822,1
10,3,-0.039054673862826544,1.5830117545205822,-1
11,0,0.46299425358248836,6.269725499832646,1
11,1,-0.46299425358248836,6.269725499832646,-1
11,2,0.03500574641751176,1.5842561341418369,1
11,3,-0.03500574641751176,1.5842561341418369,-1
12,0,0.45503453778457237,6.268477017637992,1
12,1,-0.45503453778457237,6.268477017637992,-1
12,2,0.030965462215427737,1.5855046163364903,1
12,3,-0.030965462215427737,1.5855046163364903,-1
13,0,0.4470660905768886,6.267224447191278,1
13,1,-0.4470660905768886,6.267224447191278,-1
13,2,0.026933909423111507,1.5867571867832044,1
13,3,-0.026933909423111507,1.5867571867832044,-1
14,0,0.43908882373606645,6.265967803444722,1
14,1,-0.43908882373606645,6.265967803444722,-1
14,2,0.0229111762639337,1.5880138305297609,1
14,3,-0.0229111762639337,1.5880138305297609,-1
15,0,0.4311026489980233,6.264707101995522,1
15,1,-0.4311026489980233,6.264707101995522,-1
15,2,0.01889735100197682,1.5892745319789616,1
15,3,-0.01889735100197682,1.5892745319789616,-1
16,0,0.42310747807470767,6.263442359100125,1
16,1,-0.42310747807470767,6.263442359100125,-1
16,2,0.01489252192529246,1.5905392748743579,1
16,3,-0.01489252192529246,1.5905392748743579,-1
17,0,0.4151032226714749,6.262173591688672,1
17,1,-0.4151032226714749,6.262173591688672,-1
17,2,0.010896777328525217,1.5918080422858112,1
17,3,-0.010896777328525217,1.5918080422858112,-1
18,0,0.40708979450510896,6.260900817379595,1
18,1,-0.40708979450510896,6.260900817379595,-1
18,2,0.0069102054948912,1.5930808165948884,1
18,3,-0.0069102054948912,1.5930808165948884,-1
19,0,0.39906710532250117,6.2596240544943855,1
19,1,-0.39906710532250117,6.2596240544943855,-1
19,2,0.0029328946774990084,1.5943575794800973,1
19,3,-0.0029328946774990084,1.5943575794800973,-1
20,0,0.3910350669199989,6.258343322072518,1
20,1,-0.3910350669199989,6.258343322072518,-1
20,2,-0.0010350669199987008,1.5956383119019648,1
20,3,0.0010350669199987008,1.5956383119019648,-1
21,0,0.38299359116343507,6.257058639886519,1
21,1,-0.38299359116343507,6.257058639886519,-1
21,2,0.0010064088365651556,1.5969229940879641,1
21,3,-0.0010064088365651556,1.5969229940879641,-1
