Channel,SM_BR(%),RTG_BR_mean(%),RTG_BR_err(%)
bb,58.24,11.232286213606486,11.680680896333982
WW,21.37,9.51288021673475,10.090260658503846
gg,8.18,8.045101866146458,8.988361963036036
ττ,6.27,9.178100840308373,9.58414549454227
cc,2.89,8.502924347873009,9.488099901409328
ZZ,2.64,8.646859924303534,8.92537950152059
γγ,0.23,6.588043149353477,6.837446733045839
Zγ,0.15,6.250046770967106,6.289247910646423
μμ,0.02,5.443365437233023,5.900198831869012
corridor_X,0.0,8.745453360382411,8.471675573345646
scalar_glue,0.0,11.12771259292961,10.575194310958052
dark_res,0.0,6.727225280161764,6.373922093183346
