file,kernel_file,n,spin,rho_scale,a2,beta,sdim,se,mds_stress
K_1024_same_rho1p20_a2p50_b1p60_tfine.json,K_1024_same_rho1p20_a2p50_b1p60.npy,1024,same,1.2,0.5,1.6,-0.020472587902071758,0.00039906713575060907,0.9193812076327408
K_1024_same_rho1p2_a20p5_b1p6_tfine.json,K_1024_same_rho1p2_a20p5_b1p6.npy,,,,,,-0.020472587902071758,0.00039906713575060907,0.9193812076327408
K_2048_opp_rho1p16_a20p45_bIGNORED_tfine.json,K_2048_opp_rho1p16_a20p45_bIGNORED.npy,,,,,,-56.71101402415588,0.002088698781930006,0.9560302180582281
K_2048_opp_rho1p16_a20p50_bIGNORED_tfine.json,K_2048_opp_rho1p16_a20p50_bIGNORED.npy,,,,,,-54.69946537441116,0.0021947102330500618,0.9557859990305658
K_2048_opp_rho1p16_a20p55_bIGNORED_tfine.json,K_2048_opp_rho1p16_a20p55_bIGNORED.npy,,,,,,-52.81563197488266,0.002288191659065537,0.9559135084781544
K_2048_opp_rho1p20_a20p45_bIGNORED_tfine.json,K_2048_opp_rho1p20_a20p45_bIGNORED.npy,,,,,,-56.71101402415588,0.002088698781930006,0.9560302180582281
K_2048_opp_rho1p20_a20p50_bIGNORED_tfine.json,K_2048_opp_rho1p20_a20p50_bIGNORED.npy,,,,,,-54.69946537441116,0.0021947102330500618,0.9557859990305658
K_2048_opp_rho1p20_a20p55_bIGNORED_tfine.json,K_2048_opp_rho1p20_a20p55_bIGNORED.npy,,,,,,-52.81563197488266,0.002288191659065537,0.9559135084781544
K_2048_same_rho1p12_a2p55_b1p50_tfine.json,K_2048_same_rho1p12_a2p55_b1p50.npy,2048,same,1.12,0.55,1.5,-0.09455018323622384,0.0004869279629492719,0.9476377967688089
K_2048_same_rho1p14_a2p55_b1p50_tfine.json,K_2048_same_rho1p14_a2p55_b1p50.npy,2048,same,1.14,0.55,1.5,-0.09524261837650624,0.00047687313387121435,0.9454685796799444
K_2048_same_rho1p16_a2p55_b1p35_tfine.json,K_2048_same_rho1p16_a2p55_b1p35.npy,2048,same,1.16,0.55,1.35,-0.09682346777414455,0.0004883751867642197,0.933842578834558
K_2048_same_rho1p16_a2p55_b1p40_tfine.json,K_2048_same_rho1p16_a2p55_b1p40.npy,2048,same,1.16,0.55,1.4,-0.09646393226222523,0.0004807927987728529,0.9370526580061734
K_2048_same_rho1p16_a2p55_b1p42_tfine.json,K_2048_same_rho1p16_a2p55_b1p42.npy,2048,same,1.16,0.55,1.42,-0.09610571732032265,0.00028450321413243755,0.9382714786283516
K_2048_same_rho1p16_a2p55_b1p44_tfine.json,K_2048_same_rho1p16_a2p55_b1p44.npy,2048,same,1.16,0.55,1.44,-0.09599228500277851,0.000283613339613363,0.9394762436541346
K_2048_same_rho1p16_a2p55_b1p45_tfine.json,K_2048_same_rho1p16_a2p55_b1p45.npy,2048,same,1.16,0.55,1.45,-0.0961831087567816,0.0004739794174986059,0.9400818076690773
K_2048_same_rho1p16_a2p55_b1p46_tfine.json,K_2048_same_rho1p16_a2p55_b1p46.npy,2048,same,1.16,0.55,1.46,-0.09588927644502547,0.00028279092928873634,0.9406955852643841
K_2048_same_rho1p16_a2p55_b1p48_tfine.json,K_2048_same_rho1p16_a2p55_b1p48.npy,2048,same,1.16,0.55,1.48,-0.09579584095118342,0.0002820206302219308,0.9419691805344889
K_2048_same_rho1p16_a2p55_b1p50_tfine.json,K_2048_same_rho1p16_a2p55_b1p50.npy,2048,same,1.16,0.55,1.5,-0.09596508934108818,0.000467534735698539,0.9433317132219565
K_2048_same_rho1p16_a2p55_b1p52_tfine.json,K_2048_same_rho1p16_a2p55_b1p52.npy,2048,same,1.16,0.55,1.52,-0.09563445659902921,0.00028061667276641503,0.9447719467114661
K_2048_same_rho1p16_a2p55_b1p54_tfine.json,K_2048_same_rho1p16_a2p55_b1p54.npy,2048,same,1.16,0.55,1.54,-0.09556518311131183,0.0002799790840874451,0.9462098105957568
K_2048_same_rho1p16_a2p55_b1p55_tfine.json,K_2048_same_rho1p16_a2p55_b1p55.npy,2048,same,1.16,0.55,1.55,-0.09579728883905536,0.0004614249640430226,0.9468964178316792
K_2048_same_rho1p16_a2p55_b1p56_tfine.json,K_2048_same_rho1p16_a2p55_b1p56.npy,2048,same,1.16,0.55,1.56,-0.09550273966182372,0.00027938444787178006,0.9475501820999067
K_2048_same_rho1p16_a2p55_b1p58_tfine.json,K_2048_same_rho1p16_a2p55_b1p58.npy,2048,same,1.16,0.55,1.58,-0.09544659510483293,0.0002788200694122977,0.9487501103134037
K_2048_same_rho1p16_a2p55_b1p60_tfine.json,K_2048_same_rho1p16_a2p55_b1p60.npy,2048,same,1.16,0.55,1.6,-0.09567034824815804,0.00045547909385990483,0.9498178628914892
K_2048_same_rho1p16_a2p55_b1p62_tfine.json,K_2048_same_rho1p16_a2p55_b1p62.npy,2048,same,1.16,0.55,1.62,-0.09535130691797705,0.00027778184343316056,0.9507795625159308
K_2048_same_rho1p16_a2p55_b1p64_tfine.json,K_2048_same_rho1p16_a2p55_b1p64.npy,2048,same,1.16,0.55,1.64,-0.09531135788816768,0.00027730831750942943,0.951659351085695
K_2048_same_rho1p16_a2p55_b1p65_tfine.json,K_2048_same_rho1p16_a2p55_b1p65.npy,2048,same,1.16,0.55,1.65,-0.0955769674307986,0.00044968801896859065,0.9520742591540146
K_2048_same_rho1p18_a2p55_b1p50_tfine.json,K_2048_same_rho1p18_a2p55_b1p50.npy,2048,same,1.18,0.55,1.5,-0.09671938234495546,0.00045907857281795363,0.9413338294835152
K_2048_same_rho1p20_a2p50_b1p60_tfine.json,K_2048_same_rho1p20_a2p50_b1p60.npy,2048,same,1.2,0.5,1.6,-0.05367080571827464,0.0001413789539067268,0.9458286944637749
